,Ninjavan TH Reviews
358, Delivered. Fast delivery. Actual delivery. The package is delivered very well. …
359, Delivered faster than before but it was thrown into the fence. Despite the terrible doorway to the parcel …
360,Good job
361, - Delivery vehicle suitable for delivery-การ - Staff ask before coming to deliver -🌈🌈 - Delivery on time -🦄🦄🦄 …
362, Staff are courteous and have to call to inform in advance before the parcel arrives. …
363, You called in advance to speak very politely.  
364," Like. Order on 22/6 at 19.58 hrs. The sender delivered the product to the Ninja 23/6 at 16.17 hrs. Received the item 24/6 at 11.01 hrs. The buyer and the sender are on. Bangkok is considered very fast. Before sending, …"
365," Notified in advance of delivery For the grandchild to receive, call first to ask if it's true, right? Very good service Even if taking the item in the store for too long …"
366, The service staff is very good. Call in advance Call again. The service is excellent. …
367," The system pushes to tell the delivery person even though the courier calls and adjusts himself, not impressed, no longer used, the system is very bad, pity on the delivery person, he is very good, polite. …"
368, Delivering a beautiful parcel box  
369, Good service..The product arrived faster than expected.  
370, Staff speak politely. Service is OK. 
371, Receive the goods as scheduled. Not slow. Staff polite and friendly. …
372, The service delivery is very good. There is a call to ask when it's convenient to receive the parcel too. …
373," Arrived at 9 o'clock in the morning. At that time, we just woke up May be a little silly Deliver the work. Look at Nihon. We asked the account number to transfer the package twice. Therefore not impressed Shent, pick …"
374, Keep calm  
375," Good, polite, fast  "
376, Delivered successfully  
377, Did not turn on the phone because it was a holiday. Staff called 11 lines. Thank you very much. And sorry …
378," What other people don't know, but for me, we were okay with Ninja Van from the first time I used the service. To date Because compared to other carriers in terms of service and speed of delivery, sometimes better than …"
379, Good. Speak well. I like it very much.  
380," Good service, fast delivery  "
381, Good service. Holiday still follows. Delivered to home.  
382, The delivery person called in advance that they would deliver the package early. Makes it possible to change when it's not convenient to receive at the address We would like to change the delivery location. Point out …
383, The delivery person called. Speak politely The product has no problem delivery. …
384, Great  
385, Good service. Call before asking. Staff speak good.  
386, Very good. Polite staff. Call before asking.  
387," Fast delivery, order on the 18th, late afternoon, on the 20th Received Very good service …"
388, Good. Fast delivery.  
389, Send it to the staff. Talk about it. 👍👍👍👍  
390, Correct product delivery Staff cares for work. Having a call to inquire first is considered very good. Thank you. …
391," After the shop in Shoppi reported that he had delivered the item to the Ninja Wait another 2-3 days to receive the item. No sooner, not too slow Broken one star because the box was slightly bothered. …"
392, The staff who sent said it because it was good. Polite and order like this always …
393,"First time with this company. I think it good, fast and polite' s service."
394, Very good service. The assistant named Por called to receive the item early. …
395, The delivery person called every time before sending the goods. Be courteous and polite …
396, Delivery is very fast. I like it very much.  
397," Friendly staff arrived and called in the bathroom, waiting to not fret. …"
398," Before sending, call in advance. Talk politely. Very fast delivery. The service is not disappointed. …"
399," Fast delivery Definitely faster than the orange one The delivery staff is very polite. Even if the rainy day is rain, your brother still comes to deliver the item, so give it your heart. As for other owners, if one …"
400, Transport very fast. Call before sending. Be polite. And the product is in a good condition …
401," Monday's order Wednesday afternoon, three received. At first, worried about getting things slowly But normally sent as per the standard 😸 …"
402, Call to inform in advance that the goods will be delivered so that they can prepare well. …
403, The product delivery staff is courteous and polite. Call to make an appointment in advance via me. …
404," Fast delivery Courier, good manners  "
405," The staff sent carefully. Call to notify the time and tell the payment amount throughout. But the car is not very familiar Why is this time a pickle? The last time, it was a van. I was confused. But never mind, the …"
406, K. Cute  
407," The staff are very nice. Tom came before sending. Delivered quickly. Other carriers do not call If not in the house, drop the belongings without notifying. …"
408, Considered fair  
409, Great  
410, Overall good  
411," The product is good. The service staff is very good. Call before sending every time. Speaking very polite, service is very good. …"
412," Sending very slowly, can't tell the contact number even though the given number is correct. Used the service 2 times, very much every time …"
413, Notice before delivery Check product Good delivery address details The product is in good condition. …
414," Should improve the transport staff Before sending the product, call to make an appointment to deliver the product. At one place, but on a holiday In another location, went out to be diligent, suggesting to drive the …"
415," Today received the product By found that the product was thrown over the fence High iron in the middle of the garage There are 14 cans, 12 dented foodstuffs. …"
416," Actually, you shouldn't get even a single star !!!  "
417," The staff spoke because Fast delivery, don't throw items. …"
418, Very good service staff  
419," No call notification before delivering packages Arrived at the front of the house and got stuck, then called The talk with the customer is very bad. Should train a new employee Can't do …"
420," In Lat Phrao area, fast delivery Never encountered a problem …"
421," SHNV374660746 SHNV905078197 Just as the product has not been received by the carrier, informed me that I was …"
422, Has been using Ninja Van services many times already No problem The staff were polite and good. The item was received in good condition. …
423, The service staff is very good.  
424, Receive products quickly. Good service.  
425," This delivery, received parcels in good condition and fast delivery. …"
426, For us to get things fast Employees send a call every time. …
427, Send trade instruction within the time limit. Call to inform and polite …
428," The package was delivered in good condition and sent quickly. But the delivery person didn't call to say before coming if not staying, waiting to receive. So bad. …"
429," Fast delivery, undamaged product  "
430, Shipping is fast. There is a call to inquire before arriving home in 1 minute. The staff is polite. …
431, Faster than anyone else. Superb.  
432, Fast delivery There is a product pack as well. The delivery man spoke politely. And there is a call to notify in advance Product quality has not been tried. …
433," Track packages easily via mobile, letting them know that packages When will it be delivered to your home? …"
434, good  
435, Come to send in the evening Good service staff  
436, The staff spoke politely.  
437," Very bad service. If possible, better delivery with other companies Too bad the shipping cost. Notified that the recipient cannot be delivered or delivered to the address, but there is no one. But I was always at home …"
438, The employees call the customer before delivery ...... can deliver the goods according to the appointment time. 5 stars ..... ****** …
439," Sucks, can't deliver to the front of the room I am at Baan Ua. My house is on the 5th floor. She didn't come up. Said that every company has never been raised. I argue, only you who didn't rise everyone …"
440,Fast delivery and cheap delivery fee
441," Delivered quickly. Good manners. Call for products to arrive. If not here, place it. Like it. Fighting! …"
442, Delivery very fast  
443, Received the item very fast.  
444," Thailand is bigger. Singapore, the country's owner. Therefore unable to access the demand for Thai people to order products in the shopee, wait a week Already got the numbers Not yet got any status status Folded, sent …"
445," Ok, delivery  "
446, The staff of the product delivery were well-mannered and polite. The company trained well. Great. …
447," Fast delivery. The staff spoke very well that there were no people to pick up the goods. Told me to go to send him again, which he is happy to serve us …"
448," Good service, friendly.  "
449, Excellent  
450, Today I must say that I received good service today. She is polite and has a good attitude at work. How to get a courier Everyone is like this Otherwise difficult …
451, I'm sick  
452," Quick. Plus, remember home. Call to tell first.  "
453, Very fast service  
454, Transit OK. Polite. Always call first.  
455, Fast delivery. Product is not damaged.  
456, Good service staff  
457, Send a lot faster. Very different from before.  
458, Fast delivery The tower is in a perfect condition.  
459," The delivery was very slow and the item returned itself, claiming that the address was not being confused many times with this company. …"
460, There is a call to notify the customer before delivering the item. Very good. …
461," Fast delivery, very good service.  "
462, Good service. Fast delivery. Finished product.  
463," Today, 5 June 63, the tribe's people sent the package early. At the house around Chinnakhet 1 and there is a call to inform in advance before sending. Speak politely. Okay, very much. …"
464, Fast delivery  
465, Good shipping Calls to recipients do not receive calls 
466," Before the item is delivered, the employee calls to ask. I like this transportation very much 🥰 …"
467," The delivery person spoke very poorly. If you don't have a service mind, go out and do other things. Not to hurl at …"
468," Good transportation, fast service The delivery person calls in advance. Be polite. …"
469, Fast  
470, Fast delivery. The product is 100% complete.  
471," Slow delivery. Take your convenience. Postpone the delivery date, not on time for the appointment. Appointment us at one o'clock in the afternoon Come and send us at five o'clock …"
472, Excellent service.  
473," Polite staff, accurate delivery  "
474, Delivering at the right place. Fast delivery. Good service. …
475, good  
476," Use Ninja Van 2 Once, still haven't encountered any problems. The driver is always informed. Today I didn't pick up my phone and sent a message saying that the parcel was already sent. So cute. …"
477," Delivering very quickly, like a ninja name.  "
478, Very good  
479, Nijja Chiang Rai The staff speak good manners.  
480," Fast delivery, good service The staff are polite.  "
481, Parcel arrived successfully.  
482," Send fast, have a call, alert very well  "
483, Like being okay  
484,Fast and cheap delivery service.
485," Good service, fast delivery, very pleasing  "
486, The staff speaks very well. The delivery is fast. No damage. …
487," For me, Ok.! Speaking communication service. Pleasing!  "
488," Delivery personnel, if being a regular carrier, will provide very good service. Come to send as usual There are not many problems with receiving products. …"
489," Delivered quickly, politely, with notifications  "
490," Delivery staff call before delivery Know the route, parcel, good package, good service …"
491, good service  
492, Deliver things quickly. Talk sweetly. Keep this service for a long time. …
493, Good. Say good.  
494, Terrible staff Delivery of the front of the house No need to wait for the item to be picked up. Despite running out to pick up immediately after hearing the buzzer 
495, Wait until the product has been designated date .. Until now it has not come to pass .. The transport staff have never called. …
496, Good. Fast delivery. Staff speak politely.  
497, Fast delivery and knowing the route. Reliable.  
498," The staff speak good, have good manners.  "
