Organization Name,Address
Raygain,"10, Headington Place, Mill Street, Slough,, Berkshire SL2 5EL, UK, Berkshire SL2 5EL, GB"
Raygain,"17 , Kungumam Nagar, Porur , Chennai -600116, Chennai, Chennai 600116, IN"
Raygain,"119, Genting Lane, Singapore - 349570, Singapore, Singapore 349570, SG"
Original Soft,"3-2-1 Nishi-Shimbashi, Minato-ku, Tokyo 105-0003 Daiwa Nishi-Shimbashi Building 8F"
Usac System,"4F, International Hakozaki Building, 4-3 Nihonbashi Hakozaki-cho, Chuo-ku, Tokyo"
Usac System,"1-6-10 Kawaramachi, Chuo-ku, Osaka 541-0048 JP Building 3F"
100M Intelligent,"Unit 33-36, 5th Floor, Building 5, No. 2, Kejiyuan Road, Baiyang Street, Hangzhou Economic and Technological Development Zone"
Transfocus,"Suite 2, 129 Greenhill Road Parkside  SA  5063"
UniGPS Solutions,"#1353, A-Square, BCCHS Layout, Sir M. Visvesvaraya Square,, Near Holiday Village Resort, Off Kanakapura Road, Bengaluru, Karnataka 560062"
UniGPS Solutions,"#310, Megha Center,Pune Solapur Road Hadpsar, Pune 411013"
UniGPS Solutions,"#50, Near Tappsya Convent,Vinkar Colony,Manewada Square Nagpur 440024"
UniGPS Solutions,"1st Floor, 44 39 5/2, Nandagiri Nagar, Akkayyapalem, Vishakhapatanam, Andhra Pradesh 530016"
DIGI,"6-12-2 Roppongi, Minato-ku, Tokyo"
DIGI,"1-18-4 Higashigotanda, Shinagawa-ku, Tokyo
GTD East Building 6F"
TrydanGo: Last Mile Connectivity,"Unit 6, 2nd Floor, TBIU, Synergy Building, Indian Institute of Technology (IIT Delhi), Hauz Khas, New Delhi-110016"
Freight Management Software,"3a/32 - 34 Peter Brock Dr, Eastern Creek NSW 2766, Australia"
Kyouei Information System,"7-33-6 Nishikamata, Ota-ku, Tokyo 144-0051"
KCS,"697-3 Ebisunocho, Shichijo-dori, Shimogyo-ku, Kyoto 600-8310"
IPR,"	2-32-2 Akebonocho, Tachikawa-shi, Tokyo 190-0012 Nakayama Headquarters Building 5FA"
AND Systems Japan,"16F Midosuji Grand Tower, 3-5-1 Bakuromachi, Chuo-ku, Osaka 541-0059"
Ard Sosiyo,"	1-5-1 Kanda Sudacho, Chiyoda-ku, Tokyo Toyo Sudacho Building 4F"
Fullback,"Yokkaichi, Mie 510-0061, Japan"
Tensei Data Net,"2-22-18 Kamogawara, Fukui City, Fukui Prefecture 918-8057"
