Organization Name,Organization Name URL,Operating Status,Headquarters Location,Number of Employees,Description,Full Description,Industries,Founded Date,Founded Date Precision,Industry Groups,Top 5 Investors,IPO Status,SEMrush - Monthly Visits,SEMrush - Average Visits (6 months),Apptopia - Downloads Last 30 Days,Last Equity Funding Type,Last Equity Funding Amount,Last Equity Funding Amount Currency,Last Equity Funding Amount Currency (in USD),Last Funding Type,Last Funding Amount,Last Funding Amount Currency,Last Funding Amount Currency (in USD),Total Equity Funding Amount,Total Equity Funding Amount Currency,Total Equity Funding Amount Currency (in USD),Total Funding Amount,Total Funding Amount Currency,Total Funding Amount Currency (in USD),Number of Funding Rounds,Number of Lead Investors,Number of Investors,Closed Date,Closed Date Precision,Estimated Revenue Range
Pyramid Logistics Software,https://www.crunchbase.com/organization/pyramid-logistics-software,Active,"Lakeland, Florida, United States",1-10,"The most advanced, intelligent, and cost-saving logistics and vehicle routing, scheduling, and optimization software.","PLS is an innovative logistics software that provides intelligent end-to-end design solutions for the entire logistics workflow and solves complex vehicle routing, planning, scheduling, and optimization problems quickly and easily. It is powerful, lightweight, flexible, and easy-to-use. Moreover, PLS helps the industry to save more than 20% on transportation costs, save planning time, meet all business rules, and improve on-time performance.  PLS provides a perfect design solution (better than any other routing software in the market today, GUARANTEED). It has been tested by industrial engineers with more than 15 years of logistics experience, and the PLS engineering team did a lot of successful designs that were recognized to be the best and efficient designs between the top 50 carriers in the US.","Fleet Management, Logistics, Software, Supply Chain Management, Transportation",2020-10-16,day,"Software, Transportation",,Private,,,,,,,,,,,,,,,,,,,,,,,
Lab to Market,https://www.crunchbase.com/organization/lab-to-market,Active,"Mapo, Seoul-t'ukpyolsi, South Korea",11-50,Lab to Market develops logistics automation solution and biofuel solution.,,"Biofuel, Logistics, Software",2015-03-01,day,"Energy, Natural Resources, Software, Sustainability, Transportation",,Private,,,,,,,,,,,,,,,,,,,,,,,
EloVerde,https://www.crunchbase.com/organization/eloverde,Active,"Criciúma, Parana, Brazil",1-10,EloVerde is a collaborative and online multi-platform for managing the logistics chain of waste from generation to final destination.,"EloVerde is a collaborative and online multi-platform for managing the logistics chain of waste from generation to final destination. We narrow the relationship between companies that generate, transport, treat and receive waste in a simple and practical way, providing them with increased revenues and reduced operating costs throughout the process.","Computer, Logistics, Software, Waste Management",2015-01-01,year,"Consumer Electronics, Hardware, Software, Sustainability, Transportation",,Private,,,,,,,,,,,,,,,,,,,,,,,
Engineering/Documentation Systems,https://www.crunchbase.com/organization/engineering-documentation-systems-inc,Active,"Corona, California, United States",1-10,"Engineering/Documentation Systems offers information technologies, logistics, and test and evaluation services.","Engineering/Documentation Systems, Inc. provides information technologies, logistics, and test and evaluation services.","Information Technology, Logistics, Software",1988-01-01,year,"Information Technology, Software, Transportation",,Private,,,,,,,,,,,,,,,,,,,,,,,$10M to $50M
Infolog Solutions,https://www.crunchbase.com/organization/infolog-solutions,Active,"Paris, Ile-de-France, France",,Infolog Solutions is develops software for the logistics and supply chain management industry.,"Infolog Solutions is develops software for the logistics and supply chain management industry. The INFOLOG suite product range includes INFOLOG WMS for warehouse management; INFOLOG RMS for retail management; INFOLOG GLS for the management of logistics network; INFOLOG GTS, a goods traceability system; and INFOLOG TMS for transport management. These products can be used on a range of platforms, including IBM, DB2, AS 400, UNIX, and Windows; and incorporate logistic technologies RF, RFID, and Pick-to-voice. It offers its services to service and transport; and business and trade sectors.","Logistics, Software, Supply Chain Management",1983-01-01,year,"Software, Transportation",,Private,,,,,,,,,,,,,,,,,,,,,,,
Nexus Geographics,https://www.crunchbase.com/organization/nexus-geographics,Active,"Barcelona, Catalonia, Spain",11-50,"Nexus Geographics is a leading company in geographic software, public transportation, traffic and urban mobility.",,"Logistics, Software",1997-01-01,year,"Software, Transportation",,Private,,,,,,,,,,,,,,,,,,,,,,,$1M to $10M
Paltrack,https://www.crunchbase.com/organization/paltrack,Active,"Cape Town, NA - South Africa, South Africa",11-50,"Paltrack is a supplier of software solutions, product coding, and integration services.",,"Logistics, Software, Supply Chain Management",,,"Software, Transportation",,Private,144,,,,,,,,,,,,,,,,,,,,,,$1M to $10M
Sendchoco,https://www.crunchbase.com/organization/sendchoco,Active,"Lagos, Lagos, Nigeria",11-50,Sendchoco is a technology company that enables end-to-end delivery of items simple and efficient.,Sendchoco is a technology company that enables end-to-end delivery of items. The Sendchoco.com interface is simple and easy to navigate with a great level of efficiency that enables delivery simple and fast.,"Internet, Logistics, Software",2021-01-31,day,"Internet Services, Software, Transportation",,Private,,,,,,,,,,,,,,,,,,,,,,,
Globis Software,https://www.crunchbase.com/organization/globis-software,Active,"Aalst, Oost-Vlaanderen, Belgium",11-50,Globis Software specializes in enterprise application software development.,,"Enterprise Resource Planning (ERP), Information Technology, Logistics, Software, Technical Support",1999-01-01,year,"Information Technology, Other, Software, Transportation",,Private,,,,,,,,,,,,,,,,,,,,,,,$1M to $10M
EasyTrans Software,https://www.crunchbase.com/organization/easytrans-software,Active,"Meppel, Drenthe, The Netherlands",1-10,"EasyTrans Software supplies TMS software that automates logistics processes for couriers, forwarders, distribution and transport companies.",,"Courier Service, Logistics, Software, Transportation",2009-01-01,year,"Administrative Services, Software, Transportation",,Private,"2,218",,,,,,,,,,,,,,,,,,,,,,Less than $1M
Surikat,https://www.crunchbase.com/organization/surikat,Active,"Göteborg, Vastra Gotaland, Sweden",11-50,Surikat is an IT-consulting company that develops supply chain management and logistics systems.,,"Logistics, Software, Supply Chain Management",2003-01-01,day,"Software, Transportation",,Private,,,,,,,,,,,,,,,,,,,,,,,$1M to $10M
Conquest Technologies,https://www.crunchbase.com/organization/conquest-technologies,Active,"Columbia, Maryland, United States",,Conquest Technologies is an IT solutions company for logistics management.,,"Information Services, Information Technology, Logistics, Software",,,"Information Technology, Software, Transportation",,Private,537,635.33,,,,,,,,,,,,,,,,,,,,,
PrintBig,https://www.crunchbase.com/organization/printbig,Active,"Ashford, Kent, United Kingdom",1-10,"PrintBig is a printing, production and distribution facility company.","PrintBig is a printing, production and distribution facility company. They are primarily a printing, production and distribution facility based in the heart of Kent.  They also help their customers with many other projects including digital marketing, logistics, software engineering, storage, stand construction, entertainment and more.","Manufacturing, Printing",2000-01-01,day,"Content and Publishing, Manufacturing, Media and Entertainment",,Private,470,,,,,,,,,,,,,,,,,,,,,,Less than $1M
Procomp Solutions,https://www.crunchbase.com/organization/procomp-solutions-eaa1,Active,"Oulu, Oulu, Finland",11-50,Procomp specializes in logistics planning and optimization solutions.,,"Information Technology, Logistics, Software",1995-01-01,day,"Information Technology, Software, Transportation",,Private,"1,287",,,,,,,,,,,,,,,,,,,,,,$1M to $10M
VSC Solutions,https://www.crunchbase.com/organization/vsc-solutions,Active,"Johannesburg, NA - South Africa, South Africa",51-100,VSC Solutions is a provider of supply chain technology and consulting solutions to emerging markets across the globe.,,"Consulting, Logistics, Software, Supply Chain Management, Wholesale",,,"Commerce and Shopping, Professional Services, Software, Transportation",,Private,,,,,,,,,,,,,,,,,,,,,,,$10M to $50M
AutoScheduler.AI,https://www.crunchbase.com/organization/autoscheduler-ai,Active,"Leander, Texas, United States",11-50,SaaS Logistics Software Platform,"AutoScheduler.AI is a supply chain analytics company focused on distribution center optimization that accelerates existing WMS capabilities with Intelligent Warehouse Orchestration. AutoScheduler's powerful yet intuitive platform helps streamline operations across your facility by seamlessly integrating with existing WMS and ERP systems. It provides dynamic dock scheduling, level loading labor, balancing inventory overflow, proactively cross-docking, eliminating redundant workforce allocation, and more. We add prescriptive analytics and drive efficiencies for companies like P&G and others. For more information, contact www.autoscheduler.ai.","Information Technology, Logistics, Software, Supply Chain Management, Warehousing",2020-10-30,day,"Information Technology, Software, Transportation",,Private,"1,200",,,,,,,,,,,,,,,,,,,,,,
Routyn,https://www.crunchbase.com/organization/routyn,Active,"Lisbon, Lisboa, Portugal",51-100,Routyn is a fleet routing and logistics company that offers intuitive web-based software as well as clever algorithms.,"Routetyn actually is able to forecast demand based on the Point-Of-Sales (POS) data it receives from third parties or retailers. Routyn can effectively plan a multi-day route for this demand that minimizes visits to the POS while guaranteeing all demand is met. Routyn compares the no-replenishment option against overstocking by moving the replenishing days one day before or after the overstocked day. Routyn analyzes all factors and objectives, such as traveling costs, storage costs, investment costs, and interest rates. Through an integrated demand-driven optimization between the retailer's warehouse and its point of sale, Routyn assists the retailer in reducing its warehouse stock levels by posting orders to its suppliers in appropriate quantities. Routeyn combines demand forecasting with multi-day route planning optimization and cost optimization to provide retailers with an end-to-end decision support tool that minimizes costs and enhances service quality.","Logistics, Software, Transportation",2003-01-01,year,"Software, Transportation",,Private,,,,,,,,,,,,,,,,,,,,,,,$10M to $50M
Transdecisions,https://www.crunchbase.com/organization/transdecisions,Active,"Natick, Massachusetts, United States",11-50,Transdecisions is a Developer of logistics software for enterprises and transportation.,Developer of logistics software for enterprises and transportation.,"Logistics, Software, Transportation",2000-01-01,year,"Software, Transportation",Tech Coast Angels,Private,,,,Venture - Series Unknown,,,,Venture - Series Unknown,,,,,,,,,,1,,1,,,
ValTech,https://www.crunchbase.com/organization/valtech-44b4,Active,"Yokohama-shi, Kanagawa, Japan",501-1000,"ValTech is a system integration and logistics software development, web application development and JAVA education services company.",,"Information Technology, Logistics, Software, Web Development",2002-01-15,day,"Information Technology, Software, Transportation",,Private,,,,,,,,,,,,,,,,,,,,,,,$1M to $10M
Transport Data Systems,https://www.crunchbase.com/organization/tds-011d,Active,"San Diego, California, United States",1-10,Transport Data Systems provides automated vehicle classification and bus stop arm camera system products.,,"Logistics, Software",1995-01-01,year,"Software, Transportation",,Private,,,,,,,,,,,,,,,,,,,,,,,Less than $1M
Lost Returns,https://www.crunchbase.com/organization/lost-returns,Active,"Winter Park, Florida, United States",11-50,Lost Returns applies lost &found automation technology to help recover lost items and software helps company streamline business operations.,,"Electronic Design Automation (EDA), Email, Information Technology, Logistics, Software, Transportation",2010-01-01,year,"Hardware, Information Technology, Internet Services, Messaging and Telecommunications, Software, Transportation",,Private,,,,,,,,,,,,,,,,,,,,,,,$1M to $10M
i:qu applications & services,https://www.crunchbase.com/organization/i-qu-applications-services,Active,"Karlsruhe, Baden-Wurttemberg, Germany",11-50,"i:qu applications & services offers mobile solutions development, CRM software, ERP solutions, and integrated logistics management services.",,"CRM, Enterprise Resource Planning (ERP), Information Technology, Logistics, Software",2002-01-01,year,"Information Technology, Sales and Marketing, Software, Transportation",,Private,,,,,,,,,,,,,,,,,,,,,,,
DIGITECH,https://www.crunchbase.com/organization/digitech-1c81,Active,"Praha, Hlavni mesto Praha, Czech Republic",1-10,DIGITECH is a supplier of software for logistics and distribution.,,"Information Technology, Logistics, Software",1999-07-27,day,"Information Technology, Software, Transportation",,Private,144,,,,,,,,,,,,,,,,,,,,,,Less than $1M
Route Trax,https://www.crunchbase.com/organization/route-trax,Active,"Marlton, New Jersey, United States",11-50,Route Trax is a software application that helps to check GPS vehicle tracking and travel reports for both vehicles and drivers.,,"Fleet Management, Logistics, Software, Supply Chain Management",2016-01-01,year,"Software, Transportation",,Private,243,,,,,,,,,,,,,,,,,,,,,,Less than $1M
Canappendix™,https://www.crunchbase.com/organization/grade-424e,Active,"Long Beach, California, United States",1-10,Seed-to-Send ERP Software for Cannabis Operators,"Seed-to-Send Supply Chain Management Software for Cannabis Distributors, Retailers & Regulators.","Cannabis, Compliance, Logistics, Software",2019-01-01,year,"Community and Lifestyle, Food and Beverage, Health Care, Professional Services, Software, Transportation",,Private,,,,,,,,,,,,,,,,,,,,,,,
LEDD Technologies,https://www.crunchbase.com/organization/ledd-technologies,Active,"Doha, Ad Dawhah, Qatar",11-50,"LEDD Technologies is a technology service, helping clients achieve their digital transformation objectives and improve their IT agility.",,"Cloud Computing, Information Technology, Logistics, Software, Supply Chain Management",2018-01-01,year,"Information Technology, Internet Services, Software, Transportation",,Private,,,,,,,,,,,,,,,,,,,,,,,
DSS,https://www.crunchbase.com/organization/dss-27bc,Active,"Stavanger, Rogaland, Norway",1-10,"DSS deals with ERP systems, accounting, inventory, purchasing and sales using SAP products.",,"Enterprise Resource Planning (ERP), Logistics, Software",1988-01-01,day,"Software, Transportation",,Private,,,,,,,,,,,,,,,,,,,,,,,Less than $1M
NCI,https://www.crunchbase.com/organization/nci-b584,Active,"Saint-andré-sur-orne, Basse-Normandie, France",,"NCI is a software publisher for the management of road transport, logistics, shipping and transportation services.",,"Information Technology, Logistics, Software",,,"Information Technology, Software, Transportation",,Private,,,,,,,,,,,,,,,,,,,,,,,
tmWare,https://www.crunchbase.com/organization/tmware,Active,"Tamworth, Staffordshire, United Kingdom",11-50,"tmWare offers Transport Management Systems, Logistics Process Optimization, Barcode Scanning solutions, and Mobile & SMS POD Solutions.",,"Logistics, Software, Supply Chain Management",1984-01-01,year,"Software, Transportation",,Private,"4,980",,,,,,,,,,,,,,,,,,,,,,
TransportGistics,https://www.crunchbase.com/organization/transportgistics,Active,"Mt Pleasant, South Carolina, United States",11-50,"A global, multi-product and services company.","TransportGistics is a global, multi-product and services company that provides market leading, simple, incremental solutions for transportation management and logistics functions within the supply chain. TransportGistics' rich history in micro logistics solutions and macro logistics strategies is the fuel that drives our incremental model. Their customer-driven commitment to provide effective and efficient transportation management and logistics solutions produced the market's leading toolset offering highly coherent, intrinsic, and immediate results. Managing the costs of moving goods through the supply chain is a huge challenge for shippers and consignees. A single shipment involves inter-company and intra-company transactions and communications. Streamlining a supply chain isn't easy, but the simpler the technology involved, the better. Their innovative, incremental strategy to assist and enable our customers to achieve cost effective independence from legacy practices has been highly successful resulting in double digit cost savings and cost avoidance. Solutions should not be more complicated than the problems they are trying to solve! Simpler is better, and that is the approach that we have taken with their cloud products and services.","Logistics, Software, Supply Chain Management, Transportation",2001-01-01,year,"Software, Transportation",,Private,,,,,,,,,,,,,,,,,,,,,,,$1M to $10M
RDG Sweden,https://www.crunchbase.com/organization/rdg-sweden,Active,"Karlstad, Varmlands Lan, Sweden",1-10,"RDG Sweden develops and supports web based software for logistics, E-business and CRM systems.",,"CRM, Logistics, Software",2000-01-01,day,"Information Technology, Sales and Marketing, Software, Transportation",,Private,,,,,,,,,,,,,,,,,,,,,,,$1M to $10M
MONO Analytics,https://www.crunchbase.com/organization/mono-analytics,Active,,11-50,"Mono Analytics develops products, APIs and services to help companies to levarege AI",,"Construction, Logistics, Software",2018-01-01,year,"Real Estate, Software, Transportation",,Private,,,,,,,,,,,,,,,,,,,,,,,
Left Brain Logistics,https://www.crunchbase.com/organization/left-brain-logistics,Active,"Santa Ana, California, United States",1-10,"Left Brain Logistics specializing in the field of software, manage inventory, ship orders and facilitate returns.",,"Logistics, Software, Supply Chain Management",2013-01-01,year,"Software, Transportation",,Private,,,,,,,,,,,,,,,,,,,,,,,Less than $1M
Equicon,https://www.crunchbase.com/organization/equicon,Active,"Jena, Thuringen, Germany",11-50,"Equicon specializes in the development of software for device control for laboratory automation, virtualization, and logistics sectors.",,"Logistics, Software, Software Engineering, Virtualization",1992-01-01,day,"Hardware, Information Technology, Science and Engineering, Software, Transportation",,Private,"44,302","58,849.5",,,,,,,,,,,,,,,,,,,,,Less than $1M
QTCPlus,https://www.crunchbase.com/organization/qtcplus,Active,"Bengaluru, Karnataka, India",1-10,QTCPlus provides solutions in HR and procurement automation for indirect procurement and logistics.,,"Blockchain, Logistics, Software",2015-01-01,day,"Other, Software, Transportation",,Private,,,,,,,,,,,,,,,,,,,,,,,
Kirsen Global Security,https://www.crunchbase.com/organization/kirsen-global-security,Active,"Berlin, Berlin, Germany",11-50,"Kirsen Global Security develops hardware and software solutions to track fleet, control cargo and locate assets for security and integrity.",,"Hardware, Logistics, Software, Supply Chain Management",2002-01-01,year,"Hardware, Software, Transportation",,Private,,,,,,,,,,,,,,,,,,,,,,,$1M to $10M
DeliveryMatch,https://www.crunchbase.com/organization/deliverymatch,Active,"Esbeek, Noord-Brabant, The Netherlands",1-10,DeliveryMatch is a software company that enables customers to increase sales and takes control of the logistic process and cost.,,"Consumer Software, Information Technology, Logistics, Software",2011-01-13,day,"Information Technology, Software, Transportation",,Private,"8,006",,,,,,,,,,,,,,,,,,,,,,Less than $1M
Trimble Mobility Solutions India,https://www.crunchbase.com/organization/trimble-mobility-solutions-india,Active,"Pune, Maharashtra, India",11-50,Trimble Mobility Solutions India is a provider of fleet management and cargo visibility solutions.,"Trimble Mobility Solutions India offers a wide range of positioning technologies like gps, laser, optical and inertial technologies with application software, wireless communications, and services to provide complete commercial solutions. It is a provider of fleet management and cargo visibility solutions for transporters and shippers. This solution enables transporters and fleet providers to increase their asset productivity and monitor driver performance.","Fleet Management, Information Technology, Logistics, Software, Transportation, Wireless",2007-01-01,year,"Hardware, Information Technology, Mobile, Software, Transportation",,Private,,,,,,,,,,,,,,,,,,,,,,,$1M to $10M
Dr. Malek Software,https://www.crunchbase.com/organization/dr-malek-software,Active,"Dresden, Sachsen, Germany",11-50,"Dr.Malek Software specializes in the development, maintenance & distribution of logistics software for forwarders & transport companies.",,Software,2002-01-01,day,Software,,Private,374,,,,,,,,,,,,,,,,,,,,,,
Chauntry,https://www.crunchbase.com/organization/chauntry,Active,"Maidenhead, Windsor and Maidenhead, United Kingdom",51-100,CHAUNTRY provides business critical ERP systems to airports and car parks across the globe.,"CHAUNTRY provides business critical ERP systems to airports and car parks across the globe. With clients in 4 continents of the world, the Chauntry pre-booking systems earn their clients over â‚¬280 million of parking revenues a year. Combined with over 15 years of experience, this makes Chauntry the undisputed world leader in the airport pre-booking arena.","Information Technology, Logistics, Software, Transportation, Travel",1993-01-01,year,"Information Technology, Software, Transportation, Travel and Tourism",,Private,142,,,,,,,,,,,,,,,,,,,,,,
Netlogia,https://www.crunchbase.com/organization/netlogia,Active,"London, England, United Kingdom",1-10,Netlogia is providing single platform for all applications.,"Netlogia provides their customers with a live platform to plan, execute, manage and maintain operations in a single application. Instead of the huge costs and time associated with implementing other products, their products are ready-to-use, turn-key solution.","Apps, CRM, Developer Platform, Human Resources, Internet of Things, Logistics, Software",2016-01-01,year,"Administrative Services, Apps, Information Technology, Internet Services, Sales and Marketing, Software, Transportation",,Private,,,,,,,,,,,,,,,,,,,,,,,$1M to $10M
nuDeliverIt,https://www.crunchbase.com/organization/nudeliverit,Active,"Atlanta, Georgia, United States",101-250,"nuDeliverIt is a fleet tracking and delivery management platform for 3PL, carriers and shippers.",,"Delivery Service, Last Mile Transportation, Logistics, Software",2011-01-01,day,"Software, Transportation",,Private,159,,,,,,,,,,,,,,,,,,,,,,Less than $1M
Traffics software systems for tourism,https://www.crunchbase.com/organization/traffics-software-systems-for-tourism,Active,"Berlin, Berlin, Germany",51-100,Traffics software systems for tourism is one of the leading travel technology company worldwide.,,"Logistics, Software, Transportation",1999-01-01,day,"Software, Transportation",,Private,"1,889","3,942.67",,,,,,,,,,,,,,,,,,,,,$1M to $10M
KL-Net,https://www.crunchbase.com/organization/kl-net,Active,"Yeoksamdong, Seoul-t'ukpyolsi, South Korea",,KL-Net provides system integration services and electronic data interchange services.,,"Logistics, Software",1994-04-01,day,"Software, Transportation",,Private,"1,525",,,,,,,,,,,,,,,,,,,,,,
Lunar Sport,https://www.crunchbase.com/organization/lunar-sport,Active,"Gazzada, Lombardia, Italy",11-50,"Lunar Sport offers a 360-degree, versatile, and fully customizable service for the management of e-commerce in outsourcing.",,"E-Commerce, Information Technology, Logistics, Software",,,"Commerce and Shopping, Information Technology, Software, Transportation",,Private,,,,,,,,,,,,,,,,,,,,,,,
Proximity Resourcing,https://www.crunchbase.com/organization/proximity-resourcing,Active,"Leeds, Leeds, United Kingdom",51-100,"Proximity Resourcing focuses on the development and integration of computers, hardware, software, and communication technologies.","Proximity resourcing provides planning and design services for computer systems that integrate computer technology, software, and communication. It's classified as a micro company in Great Britain. Proximity delivers innovation in the logistics, manufacturing, retail & finance sectors.","Enterprise Resource Planning (ERP), Logistics, Software, Warehousing",2007-01-01,year,"Software, Transportation",,Private,1,,,,,,,,,,,,,,,,,,,,,,$10M to $50M
Deliverable,https://www.crunchbase.com/organization/deliverable,Active,,,Deliverable is a cloud-based shipping app that enables shippers to automate their shipping operations.,,"E-Commerce, Logistics, Software",,,"Commerce and Shopping, Software, Transportation",,Private,,,,,,,,,,,,,,,,,,,,,,,
Aratus,https://www.crunchbase.com/organization/aratus,Active,"Amsterdam, Noord-Holland, The Netherlands",11-50,Aratus develops customized logistics software solutions for optimized control of warehouse operations for various companies.,,"Information Technology, Logistics, Software, Warehousing",2013-01-01,day,"Information Technology, Software, Transportation",,Private,,,,,,,,,,,,,,,,,,,,,,,
Omni Information Systems,https://www.crunchbase.com/organization/omni-information-systems,Active,"Dacula, Georgia, United States",,"Omni Information Systems provides financing solutions, transportation software and consulting services for the logistics sector.",,"Financial Services, Logistics, Software",,,"Financial Services, Software, Transportation",,Private,,,,,,,,,,,,,,,,,,,,,,,$1M to $10M
Akselot-Ukraina,https://www.crunchbase.com/organization/akselot-ukraina,Active,"Kharkov, Kharkivs'ka Oblast', Ukraine",1-10,AXELOT provides software solutions in the field of logistics and automation of warehouse management systems.,,"Industrial Automation, Logistics, Software",2014-01-01,day,"Manufacturing, Science and Engineering, Software, Transportation",,Private,"11,959","17,296.67",,,,,,,,,,,,,,,,,,,,,
KYOEI SYSTEM,https://www.crunchbase.com/organization/kyoei-system,Active,"Osaka, Osaka, Japan",11-50,KYOEI SYSTEM specializes in logistics software development and in-vehicle devices & in-house equipment selling services.,,"Electronics, Information Technology, Logistics, Sales, Software",1983-08-25,day,"Consumer Electronics, Hardware, Information Technology, Sales and Marketing, Software, Transportation",,Private,,,,,,,,,,,,,,,,,,,,,,,$1M to $10M
T-Solutions,https://www.crunchbase.com/organization/t-solutions,Active,"Chesapeake, Virginia, United States",251-500,"Providing maintenance engineering, logistics and management worldwide to both commercial and government clients.",,"Automotive, Government, Logistics, Software",,,"Government and Military, Software, Transportation",,Private,,,,,,,,,,,,,,,,,,,,,,,$10M to $50M
Precision Communication & Technology,https://www.crunchbase.com/organization/precision-communication-technology,Active,"Fairfax, Virginia, United States",11-50,"Precision Communication & Technology is an IT firm that provides IT consulting, program management, logistic, and technical services.",,"Consulting, Information Services, Information Technology, Logistics, Software",2004-01-01,year,"Information Technology, Professional Services, Software, Transportation",,Private,,,,,,,,,,,,,,,,,,,,,,,$1M to $10M
Logisticus,https://www.crunchbase.com/organization/logisticus,Active,"Hamburg, Hamburg, Germany",11-50,Logisticus focuses on developing reliable and innovative logistics software for systematic warehouse management.,,"Logistics, Software, Warehousing",2002-01-01,day,"Software, Transportation",,Private,,,,,,,,,,,,,,,,,,,,,,,$1M to $10M
Erredi Consulting,https://www.crunchbase.com/organization/erredi-consulting,Active,"Monza, Lombardia, Italy",11-50,Erredi Consulting is a leading consulting and software supplier for logistics solutions.,"Erredi Consulting is a leading consulting and software supplier for logistics solutions. Erredi is an innovative partner for all companies wishing to obtain adequate supervision on the topics of logistics planning and operation. They are a company specializing in the integration of software products dedicated to the control of warehouses and distribution centers, to transportation planning, to the optimization of stocks and to support in reorganization of suppliers. Over 20 years of professional experience in these fields allow them to offer the market a complete range of services and technological solutions for supply chain management , cutting edge and with a strong added value. The result of their work is to enable their customers to maximize the efficiency of complex logistics networks, to reduce costs, to improve the level of service and generate significant competitive advantages.","Consulting, Logistics, Software",2012-01-01,year,"Professional Services, Software, Transportation",,Private,,,,,,,,,,,,,,,,,,,,,,,$1M to $10M
Exactus Systems,https://www.crunchbase.com/organization/exactus-systems,Active,"Dubai, Dubai, United Arab Emirates",11-50,Exactus System software development company that provides logistics and supply chain management solutions.,,"Logistics, Software, Supply Chain Management",2004-01-01,year,"Software, Transportation",,Private,,,,,,,,,,,,,,,,,,,,,,,Less than $1M
HQE,https://www.crunchbase.com/organization/hqe,Active,"Temecula, California, United States",11-50,"HQE provides software development, logistics, system integration, virtual reality and customized training solutions.",,"Data Integration, Logistics, Software",2011-01-01,day,"Data and Analytics, Information Technology, Software, Transportation",,Private,,,,,,,,,,,,,,,,,,,,,,,$1M to $10M
XELOG,https://www.crunchbase.com/organization/xelog,Active,"Rotkreuz, Zug, Switzerland",11-50,Xelog is an IT company that offers customized intralogistics solutions for customers to process their activities securely and economically.,,"Logistics, Software, Warehousing",1996-01-01,day,"Software, Transportation",,Private,,,,,,,,,,,,,,,,,,,,,,,Less than $1M
"ProWare Services, LLC",https://www.crunchbase.com/organization/proware-services-llc,Active,"Plant City, Florida, United States",11-50,"ProWare Services, LLC ​is an integrated logistics software system for the perishable foods industry",,Software,,,Software,,Private,,,,,,,,,,,,,,,,,,,,,,,
SPEDION,https://www.crunchbase.com/organization/spedion,Active,"Krombach, Bayern, Germany",11-50,SPEDION develops telematics software products for the logistics industry.,,"Logistics, Software, Transportation",2002-01-01,day,"Software, Transportation",,Private,"2,526","1,542.67",109,,,,,,,,,,,,,,,,,,,,$1M to $10M
Smart Governance,https://www.crunchbase.com/organization/smart-governance,Active,"Lisbon, Lisboa, Portugal",,Smart Governance provides complete enterprise solution for decision-making ecosystems.,"Smart Governance supports hierarchical decision-making processes and multiple board, committee, council and assembly meetings, allowing for greater agility in the decision-making process while eliminating the physical paper clutter and its logistics, time and resource consumption. Smart Governance has been battle-hardened for more than a decade in customers from both Public and Private sectors and has been awarded repeatedly, e.g. Public Administration Modernization Best Practice and Microsoft Local and Regional Government Solutions Forum Sustainability International Award. ","Enterprise, Government, Information Technology, Logistics, Software",,,"Government and Military, Information Technology, Other, Software, Transportation",,Private,"5,244",,,,,,,,,,,,,,,,,,,,,,
Visichain,https://www.crunchbase.com/organization/visichain,Active,"Central, Hong Kong Island, Hong Kong",11-50,"Visichain drives visibility, productivity, and efficiency throughout your entire supply chain.","Visichain, empowering enterprise to make smart decisions at every step of the supply chain, by integrating all systems within the supply chain for real time visibility and response.","Compliance, Consulting, Logistics, Software, Supply Chain Management",2015-01-01,day,"Professional Services, Software, Transportation",,Private,,,,,,,,,,,,,,,,,,,,,,,
Trelp,https://www.crunchbase.com/organization/trelp,Active,,,Trelp is crowd-sourced app for truck drivers that helps to solve industry's two main issues: PARKING and precise ARRIVAL DIRECTIONS,,"Automotive, Internet, Logistics, Software",2016-01-05,day,"Internet Services, Software, Transportation",,Private,,,,,,,,,,,,,,,,,,,,,,,
O&S Consultants,https://www.crunchbase.com/organization/o-s-consultants,Active,"Barcelona, Catalonia, Spain",11-50,"O&S is expert consultant in business management systems like ERP, RPA, BI and advanced treasury management systems.",,"Information Technology, Logistics, Software",1996-01-01,day,"Information Technology, Software, Transportation",,Private,,,,,,,,,,,,,,,,,,,,,,,$1M to $10M
"Genvict Technology Co., Ltd.",https://www.crunchbase.com/organization/genvict-technology-co-ltd,Active,,,solution provider and system integrator for intelligent transportation and the Internet of Vehicles (IoV),,"Information Technology, Internet, Logistics, Software",,,"Information Technology, Internet Services, Software, Transportation",,Public,257,"2,249.17",,,,,,,,,,,,,,,,,,,,,
Hitachi Distribution Software,https://www.crunchbase.com/organization/hitachi-distribution-software,Active,"Koto, Tokyo, Japan",501-1000,Hitachi Distribution Software provides logistics and IT solutions.,,"Information Technology, Logistics, Software",1973-08-20,day,"Information Technology, Software, Transportation",,Private,512,,,,,,,,,,,,,,,,,,,,,,$100M to $500M
Y5 Solutions,https://www.crunchbase.com/organization/y5-solutions,Active,"Harbor City, California, United States",11-50,"Y5 Solutions is a complete cloud-based company supported by its very own in-house custom-made cloud-based software system erp, crm.","Y5 Solutions is a complete cloud-based company supported by its very own in-house custom-made cloud-based software system erp, crm, srm, wms, and is a  logistics and supply chain company.","Cloud Computing, Enterprise Resource Planning (ERP), Freight Service, Logistics, Software",2008-01-01,year,"Internet Services, Software, Transportation",,Private,,,,,,,,,,,,,,,,,,,,,,,$1M to $10M
