,Reviews
279, My package didn't arrive. It's been almost 2 weeks. Very bad service. …
280," East Jakarta to East Jakarta 1 week, it hasn't arrived ... bad ... For those who want to use it, think 100 times …"
281,"never get a call, then my status like this: Re-schedule the delivery time with recipient"" are you joking with me J&T, please be honest to your customer"
282," I contacted ciputat cs well, asked about the condition of my package because it has been in storage for 2 days but instead was blocked hiya :"
283," The package from 7th to 11th was still shut up at Cilandak 2's place, it didn't move, even though the delivery took only 15 minutes, it was a j & t officer who just changed, at work lazy it harmed the company .. …"
284, udh 5 days my package didn't arrive even though it was from Bandung to TGR and got lost !!! …
285, Severe servicehhhhhh ...... ga jakarta bogor send 5 days not arrived ... until now it hasn't arrived until …
286," It's not really recommended, I swear I won't use this service anymore, I have used the Jakarta express in Jakarta to cook, it doesn't arrive, until I call the call center 2 times, say I want to help, please help at …"
287," Personal shipping packages are rejected, only received from the marketplace. Very arrogant service …"
288," My package was sent from 1 April until now not yet haha. If you can't be professional, don't make a courier agent! I have already called 4x the call center, 2x email complaints, Twitter, Instagram and all of them …"
289," ""How many times have you reported?"" I was surprised at the fact that it was not firm enough to make me upset …"
290, Sent from 08 but to this day it hasn't arrived ... KAPOK PAKE J&T ... If you want to use this expedition it's better to think about it if the goods …
291," It's been a long time, the pile is very long  "
292, Old J&T ... complained about silence  
293," The package information is rejected by the recipient. In fact there is no courier who has arrived or contacted the new order number, the order is ordered again. …"
294, The most unprofessional service of my package has not arrived in 4 days even though it has arrived in Cikupa ... my location in Cikupa is cute …
295," J & t is now bad, the package is near home but not sent at the same time the courier .. In fact, until 3 days the package is still only in the branch was not sent …"
296, my crow package is anther because of the rain 
297," Please give priority to the one who sent it first. The 4th person arrived in Jakarta but arrived at Tanjung Pandan. But I haven't had the goods until the 3rd day. Fairer, please prioritize those who come by …"
298," Send it from Bogor to South Tangerang 4 days, it hasn't arrived yet hahaha q laughs ... this is the story …"
299, Very bad  
300," cikarang ancurrrr, the package is only needed  "
301," Dear HR & J If recruiting a different employee, please pay attention to ethics. My package was slammed in front of my own eyes. …"
302, Send stray packages all the time  
303," slow expedition, like to hold goods in the warehouse until the day to day! …"
304," It's still the same as South Tangerang for only a week or so, this is an item. If you don't add the courier, is the courier wrong? The period of 2 times the goods will be delivered to the address but continues to …"
305," Delivering goods from 29 March 2020, the goods did not arrive and were merely sold when the destination of Cikarang and the goods were now checked. No longer know what to do with the recipient waiting and getting …"
306, My goods were shipped from Jakarta to the gateway gateway from April 4 until now there is no news woyy !!!!!! 😣😣😣😫😫😫😫😫😫😫😫😫😫 …
307, JNT the service is really okay my plant is rotten because I let it go on DC in JNT for days 👎 …
308, Now it is no faster than siCepat  
309, Shipping through estimates continues. And often stay quiet. Ckck …
310,"The worse courier service that i ever experience. Website nicely created but the fact, JnT fail to deliver goods as per datelines, can't track the goods once goods arrived drop point, customer service useless. Customer lost, no where to complain."
311," Even worse, the delivery from Sukoharjo to BKS, trf from Saturday, even though the package arrived until Monday Monday. And the phone has been sent 4-5x, until I want to take it myself for a long time, it will be …"
312," Even one city delivery takes a long time, call centers and branches are less responsive and unprofessional …"
313," Expensive shipping costs, longer delivery times, no call center telephone numbers, or no hadeeeeeeh website. Wow, the officials of J & T Empire, pay attention to our citizens "
314," They say the item arrived, in fact it didn't  "
315, How do I contact Jnt ???! Call centers can't be called  
316," Not as expected, I expect the express package to be fast for at least 3 days, usually if it is delivered next door, but it's only been 5 days for a long time. gymnast people, I don't have a promise that the goods will …"
317, I'm complaining because the items I have been told to return until now I go back and forth are unclear. I sent the item at oulet J & t roxy at central jakarta. …
318, The worst shipping in Indonesia The round-trip package must be picked up using but it is limited from 1 o'clock to 5 o'clock it is thought to be work time …
319," Poor delivery of goods from jkt to jkt 8 days until now there is no continuity if it is like that, it is said to be lost / stolen from date 27, still dropping estuary points, then I check there is nothing, so what is …"
320, J&T Conch ... is more suitable for your company name  
321," SEVERE ..... PACKAGE FROM MARCH 27, 2020 JATINEGARA - CLOSER-JATINEGARA-JATINEGARA-CLENDER SD TODAY 31 MARCH 2020 NO SAMPE2 ... CONTACTING THE CALL CENTER ONLY COVERED THE HANDS ARE Checked 3 X 24 HOURS PADAHAL 1 EAST …"
322," Peace be upon you, and Allah mercy and blessings. Please, every time you use J & T's services, you won't even arrive at your home or leave them at a food stall. Even though it's just a turn, this is J & T's job …"
323," 3 times using this shipping service. The first shipment to Jakarta was even brought to Bandung. The second is sorting errors so the longer, the third also arrived in Jakarta and returned to the DC Grogol from Grogol …"
324," Dr first until now click pickup never dtg. Already looking for the closest to request pickup, but still not pickup. Using lies again, I was there late. The check was actually still not taken. …"
325," The old stuff arrived, call the Call Center "
326, from north jakarta to central jakarta just 3 days drank what are you doing ????? the feeling of using the delivery next door is only one day …
327," Why is the packet wrongly sorted, so long in Batam, no longer sent to the original address, without movement for more than 3 days, has complained to customer service, email, FB has not been responded to, worked …"
328," SEVERE !!! MOST EXPENSIVE PRICES, DELIVERY LONG. CALL CENTER GA NGEBANTU. REMOVE HANDS OFF !! KAPOKKKK !! DO NOT PAKE J&T LAH! PAKE FAST OR JNE ONLY, PRICE IS CHEAPER SAFE DATENG FOOD !!! …"
329," We did not reject the DFOD JNT package, but the original courier accused, until now the package did not arrive at all, call to the 2x call center, the status did not change, complaints were not heeded. …"
330,Bad
331," The item pick-up service is taking a long time. Everything can't be confirmed ... I need certainty. Call the center, nothing produces anything, call the branch, nobody picks up the phone. Please service ... While I …"
332,Bad
333, Very NOT very recommend ... Do not use this expedition LG …
334," Very helpful. Even though I was slow.  Thank you, jne, jne, jne express …"
335," The most severe expedition, the kirmin goods put the wrong label on the driver. Request to be sent to the receiving address, 3 x 24 hours there is still no shipping receipt …"
336," Not feasible. Never use J&T services Not the order that came, but rather emotions. I suggest don't use this shipping !! …"
337," Awfully. Not recommended. !!! Shipments from sby-jkt were held for 5 days at the branch office without clear explanation. Phone call center does not help at all. It's like a telephone answering machine, the answer is …"
338," I love 1 star, original geeky period from batam to jakarta 1 day, jakarta to ciputat dlu 1 day, from ciputat to bintaro simpen dlu in the warehouse 1 day, even though my office is not close, the system or employees …"
339," The longer the shipment, from Jakarta to Tangerang, it has not been until 9 days. Courier no initiative to tel the recipient of the package ??? …"
340," The most difficult at the hub, the package has been sent back to the destination city again again to other areas, then the packet is just left in the warehouse, there is no clarity, I want to ask if it's hard to …"
341, The longest shipping worldwide. I don't recommend shipping via J&T express …
342," Shipping within the city, only 30 KM away. from March 7-10, it's not yet clear where the package is. and I just received the package on March 13 at 18:00. It takes 6 days for …"
343, the period of sending Jakarta to cikampek from the heart of Saturday until today has not yet arrived ... yesterday it was telephoned to delegate errors to the sender ... even though I already knew from the wrong jnt …
344,Worst courier service in Indonesia
345, Why are there more and more complaints?  
346," Delivery from 10 to 16 months until DHL only. Twice wrong sorting. I just want to move around. Long time in the warehouse too. Tel cs twice just told to wait. Let's fix the service, don't lose to other expeditions. …"
347," it's crazy, it's because of J&T, but it's the turn to send it to your home address so quickly. turn to the tangsel regional office must be very slow, seriously it feels really frustrated. …"
348, Jakarta just stray ..  
349," My package was sent to Jakarta from 9 March 2020 until today, 13 March 2020 and it hasn't arrived yet, even though it's been waiting for use. Very disappointed. …"
350," The destination is very close to the drop point and the distance is about 1.5 hours to receive the package, but it's a wonder how long the delivery is and he said Express is really slow. …"
351," seriously, this shipping suit. the item was sent from 7th to 12th until not yet, the statement ""the goods are stored in the warehouse because it has passed the ops hours"" and it was from the …"
352, This is really bad ... the package can get lost ... how long it will take ... Must be many people …
353," It's really bad, shipping from Jakarta to Tangerang until 7 days has not arrived, usually through the shipping service, it takes only 2 days to arrive, it's often very unequal to J&T, every delivery of goods is always …"
354, Really detrimental It can't be sent because it is dangerous at the time of the ship's pump and has been packaged safely as long as the wrapping layered. If the goods can't be …
355," The shipment from Jakarta, the position of the goods in Tangerang has not been brought closer to the recipient's address to the Teluknaga area, instead it was sent to Sukabumi. Paraaaah .... the day before this …"
356," Please educate the courier again, the time when the shipment is written is WRONG ADDRESS / USER HAS MOVED. obviously NGAWUR !! it's the address used for any shipping service and always arrives. complain to the call …"
357,Jnt the best hehe
358," Slow, really slow, very slow, really slow. Kapok.  "
359," Jakarta to Tangerang, it hasn't been 6 days until it's arrived, the soundtrack song must be replaced. Gosh ... …"
360," It's really bad that my package was stuck at TGR Gateway from the 2nd day until now, it hasn't even been around yet, this is J&T, why? The feeling used to use this service is good. Why is it so problematic and …"
361, Kapookkk doesn't want anymore  
362, Order to use shopee with J&T express from West Jakarta to Tangerang. IT NEEDS 7 DAYS AND STILL HASN'T BEEN UNTIL HERE. Very disappointed at the service. Wait for the whipped alias on the new telephone road again from …
363," The worst expedition ever! Just shut up, it's already expensive work, right !! …"
364,"poor service, very bad & not recommended! Jakarta tangerang need 1 weeks!"
365," Order items in the form of wedding ceremony for the March 9 event, sent from Cakung Jakarta on March 3, the goods stopped at TGR Gateway on the 4th, now it is March 8, the item hasn't arrived. Phone customer service …"
366," It took so long, he said express ... The package was still delayed ajj in the warehouse ... …"
367," really ugly, slow  "
368," Services at the JUTEX branch office, NOT FRIENDLY, !!!  "
369, Delivery from Cibinong to Ciputat in 5 days from March 3 until now on March 8 there is no clear info …
370," I was disappointed to send packages using jnt. A month ago, the date was 5 feb 2020. I sent my vehicle registration with my moratorium from Grogot Kaltim to Cikarang, West Java. …"
371," Just now call CS J&T, only this time I met a company that had CS stuck out like that. Asked what, the answer was different. Answering with teasing intonation. Kapok send items using J&T. Delivery between Jakarta and 3 …"
372, My goods are stored in the warehouse for up to 3 days and until now they are not delivered because the reason the shop is closed ??????????? Extraordinary . …
373," The package didn't arrive in almost 2 weeks, there was no clarity, 3 times the call ... the response was ""please wait, try to make the cellphone active, it will be contacted later"" .. …"
374," Very very bad, ... How come until the warehouse is delivery, it takes days, Muke, you're crazy …"
375," How come the item didn't reach me, it was so bad J&T got to ""stray the package until now it hasn't come back, it's no longer"" use J&T …"
376, Very slow  
377," How long does it take now, my package hasn't arrived  "
378," Already stuck in the warehouse of Bogor, stuck in the delivery. I Phone Cs On behalf of * Happy * on March 05, 2020 at 9:15 minutes he said Bodo …"
379," Very disappointed with the JT express service, he said delivery only 3 days from Sulawesi to Jakarta, but my package has not arrived at the destination has been 10 days delivery, which was sent was not ordinary goods …"
380, lamaaaaaaaaaaaaa  
381, Very often wrong package delivery ... Or sorting ... Strange ... Even though the address is clearly correct ... But it's always like that ... Not good jt express ... Please fix the system ... Don't disappoint the …
382," Even Po * Indones * has already been able to compete with other similar expeditions, but you are getting worse …"
383," The call center isn't polite. I asked all of a sudden, immediately turned off the phone without saying anything !! …"
384, Really slow delivery  
385, Wooyy .. Where is the package already delivered to JNT from 15.00 until now the status has not been verified. What do you guys do for work? …
386, Parahhhhhhh  
387," It is unclear how shipping is done, disappointed  "
388," J&T pick-up service is useless, every time you use a goods receipt via bukalapak, no courier arrives or asks ""where did you go"" for hundreds of times. Now J&T is the most expensive "
389," It was really fast, just a good job  "
390, GRADUATION IN GATEAWAY WOIIIIII ACCELERATES KRJAMU  
391, Severe delivery status has been received but the item has not been received by the family !!!! …
392, Long time gone  
393, Over time this transit je en te! Just fire the slow expedition management! There is never a solution. …
394, Worst  
395," How about this package, I have to send it to the attack, instead it is brought to Bogor and now in the warehouse, it should have arrived from yesterday, not really careful how the consumers are affected. …"
396, my package didn't arrive  
397," Why 1 star ??? Because I was disappointed how much the other day, I bought a lot of goods from different shops in shopee, only the courier from J & T didang the longest ... already, the unit was broken. Alien …"
398, GOBLOK COMPANY FOOLISH GA BECUS …
399, No longer using jnt cod ... East Bekasi courier employees must not be successful on behalf of Jay so it doesn't help. I have explained the obstacle so that the goods sent on the day I asked for phone but the courier …
400, The package hasn't arrived in 5 days. Even though the distance is only 1 hour from Jnt to the house ... very disappointing …
401, The item was thrown ... it was in the yard ... I thought my brother was rubbish ... lucky to see it first. …
402, This is bad because the package was sent on 7 and now it still hasn't arrived to me ... I swear it's really bad the service ... it's better not to ever use J & T again …
403, Goods can not be sent & reversed. But the 75gb postage can't be returned. Poor and disappointed with JnT's service. I won't want to use JnT delivery service …
404," even though the delivery uses a booking code but it doesn't enter automatic input, so our sales get 2x negative feedback …"
405," I bought a galaxy a51, when I received the package it was still packed but it was really easy, right when I opened the cellphone and it didn't touch it. Crazy crazy, I bought a cellphone online not just this once, but …"
406, The package is often stuck in DC 
407," If the fraudster doesn't arrive anymore, don't use the make …"
408, The goods are already in DC Sunter. I have sent ivory coconut even though the package has been delivered from Bekasi a week …
409," Long delivery, please. No doubt many protested and disappointed. …"
410, binder  
411," jnt knows what entered you ??? It's usually fast, how long is it now? disappointedaaaaaa. …"
412," Bad service, give 1 star àja udh kebagusan, call center is lousy, bc is not very helpful, cm bs jwb already in the investigation. How come from now, how come it's been a week or not to the destination, how about that …"
413," The worst delivery in this country, the employees are rude, do not know manners, and like to delay delivery with the reasons of kindergarten children. Everything is better to just switch to JNE! …"
414," How is this boss ... my package hasn't arrived yet, it's been over 1 month The item has not been received but the credit application has already entered …"
415, Slow oath !!!  
416, Please take action against J&T Bandung Antapani branch because the courier made a false report on the tracking system. The call center also helped defend the courier. The point is the item hasn't been received yet but …
417," Service is lousy, sending goods in one region, one sub-district, but 3 days have not arrived, the items have been sent out of town !!! It won't work anymore! …"
418, The most severe shipping service. Will never use it again and recommend to all do not use it. …
419, the most severe shipping service that ever existed in Indonesia. The CSs lied to cover up mistakes …
420, Forced to yes 1 star. Let's make the JnT Slow and Abal2 movements. Create status abal2 items received but no one has received. …
421,Ok..good job
422," The 2x package was not received and there was no feed back, but we were told to wait for just buying time. Tlpn repeatedly wasted time and credit but there was no clear answer. I could not track orders for 2 days at …"
423, Share experiences Frequently olshop don't use j & t. …
424," xpedition is very bad from East Jakarta to South Jakarta from 19 December to 27 December, not until. what a blind street …"
425," packages often get delayed while shipping. even though the seller had sent it quickly so that it arrived quickly. I was fast until I sent it home, but it didn't even arrive until 3 days. damn it really is. I don't …"
426," really bad customer service service !!! the packet was lost, how could that be? there is no clarity for 12 days where the package is, told to wait and continue but no information. if this lazy use …"
427," Very bad service, no clear SOP. Pickup requests throw each other JNE, there are many reasons for oversized goods, it must be wooden packing, even though it has often been sent via J&T and just smoothly. It's better …"
428, Never been appointed  
429," Smart expedition services, for those who are training patience, may try this expedition once in a while ... …"
430," Gile rot, the first time sending a package using J&T, Jakarta to Jakarta 10 days, until the package status is stored in the warehouse. The call center was never called as well. …"
431, Long.  
432," TRY DONG DC CIKARANG SOUTH CONTROL, THE FAMILY IS SO HIS SERVICE. TIMES ARE NOT PROFESSIONAL !!! …"
433," The package often gets stuck in the crocodile swamp, it has been a month, and the cancellation is because the packet is lost. Luckily the sending part is responsible. Now I'm stuck again. Expensive shipping costs for …"
434, JOGJA PACKAGE JKT 1MGGU GA SAMPE2 CRAZY  
435," The phone was called, there was no response. Severe  "
436, it's good how many complained about the old shipment I order it via shopee on the 6th delivery via jnt express fellow Jakarta until 16th December doesn't arrive …
437, buy 4 items the same day JNE and SiCepat courier 2 days until J&T courier in Jakarta has a week and no waste …
438," 3 packages have not arrived until every check of its status from Tangerang, the package will be sent to Serpong. The period of 2 days doesn't arrive, what the heck is this? …"
439, This is the headquarters. COD system delivery transaction is not recommended. fraud-prone 
440," DC Pekayon & Ampar Jkt18A drop points for a long time .. The item has been in 24 hours, the status is still ""the package has arrived at DC Pekayon"" ... When do you want to send it ... Already several times like this …"
441, Package was lost and last lost.  
442," I'm very sorry, but the customer service division is slow. Not responsive to customer needs. If the CS workload is too large, so that customer questions are not responded to and the capacity to deliver information to …"
443, At worst ... the package just arrived overnight and hasn't been delivered yet ... in the event that there is a complete address ... …
444, Severe ... how come my package can stray ... even though the postal code is clear ... the J&T party at my place 
445," I haven't received the package yet, but the status has been received on my behalf. Please fix it, don't make customers disappointed 😤 …"
446," Horrible Service. On 27 nov latest info, the item has been shipped to DC Sunter. Until 29 the item hasn't been delivered. Check receipts by Tokopedia application, no item position update, still the same as the 27th …"
447," The simplest expedition, how come the package is delayed and back to its original again. …"
448," Very often the status has not yet reached the customer, the delivery status has been completed. The J&T COD system in shopee also often makes losses, many return goods that …"
449, The CS is stuck ... sorry to send it using J&T ... it's better to return to your neighbor who is clear and certain ... …
450, How are my goods from November 12th until now I still have a bad BKI_GATEAWAY warehouse and the service is very slow? Thank you J&T won't use this expedition again. …
451, Berat..padahal disappointed sdh 3 x contact cs J & T tp kaga in response intimately ..iya iya..tp package sampe2 umm .. Shipping attack to North Jakarta …
452," This month November 2019. On my 7th, the order was sent from Batam to Jakarta on the 12th and was in the city and to this day still with the same status "
453," Tangerang to bekasi more than a week, I don't want my online store to use J&T, better ride and JNE, bye bye J&T ... …"
454," It turns out that the company is not responsible. Jakarta - Bekasi, 5 hearts have not arrived ... …"
455," Long!!! Though fellow East Timorese. I should have been able to do it for one day even today, 4 days, "" …"
456," CRAZY IS THIS EXPEDITION !!! All are bad, but there is no attempt at improvement from the center. I use this service to send fellow Jakarta for days, staying in the warehouse of goods. Just close your business if you …"
457," Crazy, packages often get lost, even though they only come from Jakarta. Sending it to Bogor, he sent it to Cibinong 4 times, finally he stayed in the warehouse for 2 days. …"
458, Her core services so severe. fellow Jakarta delivery for days and 3 days has not arrived …
459," disappointed, there is no difference between express and regular, and slow …"
460," often the wrong input, the packet goes round and round, the status brought by the courier did not arrive until, this is a terrible expedition …"
461," How stupid do you make a ""my package before yesterday"" already close …"
462," Disappointing. Send the package from October 31st, November 4th, it hasn't been received yet. Medan Jakarta during that time. 2 day estimate. I don't know if I need that. Don't use shipping, it makes emotions …"
463," the pickup package is super messed up ... don't need to promoin first, just fix the system first, had lost competitiveness with the new expedition quickly with the anteraja, …"
464," The status is accepted but the goods have not been received at all, even though I use one that express from Jakarta to Bekasi …"
465," BEKASI SHIPPING. COURSE OF SONGONG SE SONGONG-SONGONG ... PEOPLE ALREADY OPEN THE PACKAGE HOUSE DOOR IN THE FRONT OF THE EYES, NOT HAVE ETHICS !!!! …"
466, My item was missing from the month of 08 until now there is no clarity. Very bad. Promised replacement but no clarity. …
467, J&T Express is the logistics company with the worst service and somehow became Shopee's partner. Many times disappointed by J&T because of unprofessionalism in handling packages that are entrusted to be sent. If not …
468," even though I reached the warehouse near my house, I didn't deliver it for 4 days. How crazy are you? …"
469, number of stars according to service. POINT.  
470, I told her to take her to the green mansion  
471," My package didn't arrive ""how is this  "
472, The most rotten shipping service in Indonesia !!!! give up I use JNTolol …
473," UDAH 4 DAYS STILL TRANSIT TEROSS PROCESS, ALSO EXPENSIVE BAD PULA # JGNPAKAIJ & T …"
474," Customer service is not satisfactory when I called for 2 days, delivery is not satisfactory, …"
475," The worst service. There is no compensation, no clarity. Delivering round and round even though fellow Jakarta. …"
476," Unprofessional shipping services, in my delivery information there is a description of the package delivery failed and has contacted the customer, even though I have NEVER BE CONTACTED AT ALL by J&T. …"
477," So bad The 4-day-old fellow in Bekasi hasn't arrived. From bekasi east to west bekasi, going around to north bekasi. If you still want to use that, please correct the service. Harm the seller in the marketplace. It's …"
478," Even worse, now, the period of time for Semarang to use the yes, it's already 3hrs, the package in Semarang hasn't changed. Once I went to the package when the package arrived at the nearest branch at 7 in the …"
479, Strange from two days ago the package information arrived at the recipient but I didn't receive anything? The call center was not reached. It's hard to contact. How is this? …
480," My package has not moved / moved for 4 days !! Even though it's a big package, how come it doesn't move ?? Very disappointed J & T …"
481," I send the item using jnt via shopee. In the document 100 thousand free postage from Shopee. It turned out that after the furious arrived, I was billed another 200 thousand. Has email to jetcallcenter 2x no response …"
482,the worse service that i've ever Experince. Not Recommended..
483, GARBAGE ... MY PACKAGE FROM 2 YEARS STILL AT JKT MOTION MOTION …
484, Very disappointed .. Panan has been waiting for 1 week until also ... Udh chat pelapak until cs j & t there is still no response .. There is no answer to it .. The name of which is expressing the service to conch ... …
485," The package is late and stray, even though the buyer has the same shipping address, why don't we send it together so that it's not complicated, and where should I go? …"
486," My package from 16 to 24 sep is still on, bad service.  "
487, The package is late even though it is shipping from North Jakarta to South Jakarta. The package arrived at the South Jakarta warehouse from 19 Sept at 5 am but until 20 September at 8 pm the goods had not arrived. …
488, Very slow  
489," send the package from karawaci to south jakarta 4 days, contacting CS cannot give a solution, only told to wait ... slow, lose fast and ride. …"
490," crazy, the package was sent from the new 11th until September 17th. even though if I use JNE regular it usually arrives the next day, no later than 2 days from the delivery day. I use J&T regular for almost a week. No …"
491," The phone number is really hard to answer, what about email and social media? It's really bad, even though the price has gone up, not right, but it's the same. …"
492," OLD, do not match the estimated time  "
493, LAMBATTT  
494," It took so long to send a courier, it was a lie.  "
495," 4 days in Jakarta transit continues, the customer is disappointed as well as the seller loses. Even though the address is clear & still Jabodetabek. Auto move to the next direction. Severe J&T !! …"
496,"the worst service that I've ever experience with the courier.. For the rating I don't want to choose 1 star. If you have other icon such as s.h.i.t. , I'll choose that more suitable. But there's no other choice."
497, DELIVERY AND WORST DELIVERY. GARBAGE  
498, Parahhhhhh .... Dri morning to evening call CS NO DA YG ANSWER !!!!!!!!!! …
499," Goods are sent from 3 September to 13 September, until the date, the status is only stored in the warehouse, just sorting gt2, even though from the 5th date the goods have been in Jakarta "
500, Twice sending packages ... using this courier service. Not sent to my address. Cs ... hard to contact ... in the email there is no response / no reply. …
501, no need to discuss j & t's ugliness. try to mention how good is j & t? this expedition got worse and worse than the ninja. …
502," how come shipping is slow now if you go to south Kalimantan, 1 week still not sent "".. I'm sorry to use jnt shipping ... please don't make customers disappointed …"
503, Package delivered took longer than promised. …
504, too many problems. !!  
505, Goods often don't even disappear. Very often in the database the goods have been signed by myself but the courier does not come home …
506," Very disappointing ..... I ordered via online shop ,, sent via J&T ... it hasn't been three days until, I called the plan to take my own warehouse ... but it's not allowed, every day I call and check it is still in …"
507," I am very disappointed I sent 3 packages with only 2, and today I have to move to that jpn goods I brought to Japan to stock up on Jpn, I am very heavy at all, …"
508," expeditions that make the most loss, often lose goods, more expensive tariffs, too slow …"
509," I have always been happy to use jnt.per on the 17th of August, I am very disappointed. The item is gone, the funds are returned to the buyer, all + ongkirnya. …"
510, what does this send to Depok why instead sent to denpasar is disappointed with J & T …
511," the worst experience !!! therapeutic expedition. sending other regions can take 8 days or more ... until now it hasn't arrived ""... I have complained but there is no response …"
512," The most goblook expedition, estimated 4 days, package from 6-13 August blom until. Even though the package is already in the Kalijati warehouse, it is not delivered. The second time like this, before the package had …"
513," The failure rate for COD packages is quite high. Returns package fails to drop a point of origin is very old. based information agency owner to send sy place, abandoned packages in the warehouse. not urusine. Send …"
514," All of them complain about the expedition. If I am personally thank God, from the beginning of the dtik, this is good, the best and the time. Please let the courier be loyal in the delivery so it won't stray because …"
515,Landmark
516, Overall Package from the 15th sample is now not available yet 🤔 …
517," Delivery of cod 10 package 9 package late.  Customer service is not polite, it has not finished talking, disconnected the …"
518," It should not be necessary to use the express name, express, the shipping is faster, how come expresss are getting slower. What are the expresss ??? The order has not arrived until 1 week, there is no confirmation …"
519," This company has a lot of Scandal Many play From above, he did a lot of cheating …"
520," Severe service is not stable, very bad old shipping, changing the name J & T Keong is not an expresa. There is no upgrade package. …"
521," The items arrived until a few days ago, they didn't arrive …"
522, I was very disappointed ... I just used j & t service for the first time but instead was disappointed ... my package is already in grogol's dc from the 2nd but the 6th hasn't been delivered home ... even though it's …
523," VERY VERY DISAPPOINTED ... shipping Jakarta to Jakarta can be more than 5 days ... and worse, the address that was given really was VERY CLEAR ... But it could be …"
524,Ok
525," How come ... JNT EXSPRESS is slow ... It's Saturday, it's not liburrrrr for good service !!! …"
526," Worst service. Adorable, it's good. I'm almost almost a month away now. Still in dc injection. It was better to disband this expedition. Paraaah …"
527," Sad, but the J & T expedition is now very disappointing. The shipping is long even though it is still in this capital city. If you want to find a fast and timely delivery, better to not use this service. …"
528," HAVE A MORE EXPENSIVE PRICE, WORSE, BETTER DELIVERY SERVICE, LIKE JAKARTA OLD IT'S NOT A PLAY. …"
529, The building is new and nice ... Strategic  
530, From whistle to syringe 3 days until the package. It's 2x like this …
531," Very bad fellow Jakarta is really long, kapokkk, I'm reluctant to use j & t if it's not fixed …"
532," Already the umpteenth time I have strayed the package, the address is clearly sent to Tangerang ... this is sent to Lampung instead ... I swear so bad that the service is J & T, Jakarta Tangerang arrived 5 days ... I …"
533, Stupid expedition  
534, Brg ga sampe2  
535, Mantaps 👍🏻  
536, The place to send and collect the best items in Indonesia …
537, J & T isn't sending a DOG rich  
538, Phone offices have not been appointed. Just J & T. The item from uda passes estimation. The center can also be contacted repeatedly and doesn't want to go back or not. Do not only support ... …
539," If there are a lot of people using fraud through this application ... By sending the item but it does not arrive at the destination, it has been 2 days before it arrived from the airport to the old Bogor ... …"
540," Can I complain here ?? my shipping is said not to pass x ray, and the agent info I have to pay 500 thousand for redeeming goods that send power. I am not a problem and when I want to get the goods I am told to pay 500 …"
541," Not in accordance with the express, which is suitable for slipping, I was harmed because the cellphone sperpack package was not too long until 05/03/2019 not until joooo, instead it strayed into Sukorejo, looking for …"
542," How come my package hasn't arrived yet - until also, it's been a few days tracked only in Jakarta and until finally the package arrived at JKT-GATEWAY and it will be sent to MES-GATEWAY until now it hasn't arrived at …"
543," J & T Express, please change their name, do not deliver very bad express service, the package has not been delivered a week. …"
544," When you make J & T, just deal with slow deliveries  "
545," Very disappointed with this company. Why is my package just placed on a shoe rack in front of the house? If people take it, will JNT be responsible? Want to change my package ?! Whereas when I entered the housing …"
546, bad.  
547, SAAT IS VERY FLY 
548," The call center is not polite, no complaints have been made, the phone is turned off by saying fussy !! 😠 Call centers are not taught manners …"
549," Alhamdulillah, as long as I use this, there are no obstacles, it's easy, there are no obstacles. Hopefully the delivery process will be more smooth, and do not be late to update the position of the item. Thanks J & T. …"
550," long delivery, very disappointing  "
551, KACAU. SEND HIS NGOMONG FOOD 2-3 DAYS. UNTIL THE UD SKRG MORE THAN 5 DAYS. PHONE TO CUST SERVICE 2X. THE SAME RESULT OF THE ROBOT SPT. CONTINUE TO BRANCH. THIS IS J & T IN AJA DAH BOIKOT. A LOT OF COMPETENT ENTIRE …
552, He said express But the slowest expedition. Maybe expresss are slow in shipping x ea . . . . . . . . . . . . . . . . . . . . . . . . . . . . …
553, Excellent  
554, It's very disappointing to use the J&T pick-up facility in the marketplace... goods for 2 days were not picked up even though I had requested a pick-up.... the estimated pick-up time could not be expected... This …
555, Delivery of goods is very very long. Regret sending the package with J&T. …
556, Dilapidated management... Arrogant!!  
557," During the 2018 Harbolnas yesterday, the shipment was stuck without any clarity on when it would arrive. It must be an evaluation material between giving promos while maintaining the quality of delivery services. …"
558, JNT EXPRESS ? THE BOBROK SYSTEM IS EXSPRES.... THE MENDEM PACKAGE AT JNT SUSUKAN BRANCH FROM THE 20th UNTIL NOW NOT SENT …
559," I want to ask why my goods have not yet been delivered from Jakarta to Maros, since the 21st it says it wants to be sent by plane but how come it hasn't arrived yet, it's tracked, it's still the same, the position has …"
560, Fast  
561," This particular expedition is the worst. during my online business, this time my item was destroyed even though the packaging was double the box was given a sticker, watch out for breakage. Still broken too. I'm tired …"
562," BAD SERVICE,, Worst JNT.. goods destined for Jakarta instead sent to Bandung.. even though the destination address is clearly written, …"
563, really slow even though it's more expensive than jne  
564," TEPAKSA KSIH 1 STAR, IF YOU CAN NOT USE A LOT OF STARS!!! Damn J&T a week my package got stuck in the warehouse! I'd better use JNE! …"
565," Actually the vehicle is good and recently the J&T, only the system is chaotic plus the couriers who are incompetent make J&T's name bad. The owner closed his eyes as if he didn't care. …"
566," It's bad when the location is close between Pedongkelan and Cengkareng, you just need to step on it but it hasn't been sent for a week, it's even worse when you want to pick up the goods, you can't even get it and the …"
567," It's been 4 days, the status is still the same, I don't think I intend to send this …"
