,Unnamed: 0,Ninjavan TH Reviews
341,341, VERY UNSAFE. REGRET ME TO USE THIS SERVICE  
342,342, There is no seat for guests  
343,343," Promos may be at market places, etc., but they must be of satisfying service! When I order at the market place, the goods are not pickup from the seller until now. Buseeeet. Order date 14, request pickup date 15. …"
344,344," A slow expedition service, promises 3-4 days the package is received, it's been more than 1 week the package isn't clear where ??? Contacted the call center but no one answered !!! No intention to make an expedition …"
345,345," which is suitable for the name of this shipping service, SI LELET XPRESS …"
346,346," Disappointing mas !! For those who want to use this service, please think about it again, bro. There are no clarity in a week, there is a customer service for tracking and tracking. Not to finish. …"
347,347," What ninja is this ??? How come the delivery is slow, no need to show up at the olshop anymore, I don't think I've been waiting, my stuff isn't up to home either. …"
348,348,Poor service ever !! Kapok
349,349," I want to complain, the goods from Lazada are canceled by the ninja express courier from Kendari ... the package is already a week because I'm late reply to the chat 14 minutes directly returned to the seller ... damn …"
350,350,"Poor service. Pick-up delayed, courier cancelled and didn't reschedule for other courier to pick-up. I got complaint from my customer. Driver always ask detail of my shop address even though it's already written clearly in shopee. I will turn-off Ninja Express from my shop and will not recommend until you fix all these problems."
351,351," ninja, how come my expers are coming, please come, please expedited my goods, yes, please expedited …"
352,352," My package hasn't arrived yet. Check your parcel receipt successfully sent. But I haven't received it yet. Gosh, you are a ninja. Skip where to …"
353,353, Please order to expedite the delivery  
354,354," Please improve the working system, the IT team too ... This is a shipping service business ... concerning the convenience of the sender & receiver ... …"
355,355," Sorry to use ninja express for a long time, delivery is not like other fast delivery …"
356,356, This service is very bad for Makassar South Sulawesi. Courier is not professional …
357,357," Deliveries from Date 16 to June 24, 2020 did not arrive ... 🖓🖓🖓 …"
358,358," The worst shipping service ever, because many were late and even many packages were lost "
359,359," Expedition is slow and not clear .. Morning tracking status ""will be sent to the address"" then there is a notification lg transit .. More transit. Transit, how come ... How come I have 2 ninja to 2 different …"
360,360," This insane insane package expedition is somehow stuck where, receipts are tracked still in place ""just don't understand this expedition anymore …"
361,361, parahhhh ... the 10 day package did not arrive even though it was the same in Jakarta. On the phone to CS he said the goods were in Cideng ready to be sent from km. Even though my house is in South Jakarta. It doesn't …
362,362," 3x I pk xpree ninja services very very very disappointing, only a very close distance with info sent 07.01 to 20.35 bs did not arrive and xkp with WA that the time has run out and please contact CS. What service is …"
363,363, My package already 11 days still going around  
364,364," Crazy, the courier service until CS was really bad, the telephone company never called, never asked the courier to be followed up. Luckily there is one star! If there is a zero star you deserve. …"
365,365, Najiissss guaa ... delivery of courier parts of the trunk is like no traces. Unclear grumbles ... please update ... or replace all. Severe.!!!! It doesn't sell if the courier model is like that. Just use ninja once. …
366,366," The expedition was unclear, the distance between the warehouse and the destination address was only 1km, almost a month had not arrived yet, with the reason the destination address was closed, there was listed my …"
367,367," Tracking package has been sent, but I did not receive any packages! On other expeditions, I will at least WA or text if the goods are being delivered to the location. In Ninja, there is a confirmation to the recipient …"
368,368," From June 3, 2020 the item hasn't arrived strangely enough that the reseller has received no response …"
369,369,Poor service. Period
370,370," Please pack me up, I can't see the recipient's information at the location, I was surprised that even though I didn't get it every day, ""weird …"
371,371,Too long for pickup my order
372,372," I really use ninja, shopping at Lazada using ninja eh at the shop already to the courier, the courier is not sent, from 31st May 2020 until now it's still in the same place hadeuhhhhhhhhhhhhhhhhhhhhh …"
373,373, Ninja X Press is cool good stuff  
374,374, Already more than 10 days the package has not been updated news stts y mash just process it will be done because of the logistics partners just how about this …
375,375," It's so bad to make a package send not happy, ""I told you to send a number of times, I've been waiting all day for the most to be sent. Very bad. …"
376,376, Orders for goods from Bukalapak 3 hr aren't taken ...  
377,377," This is what comments a lot of buzzers, who are sportsmanlike in boss competition …"
378,378,Nice office
379,379," It's been 10 days, the goods from West Jakarta to Ciledug that were sent using Ninja didn't hear the news. Check cross tracking status. Even though using drugs should be able to take two days. …"
380,380," The package from the 19th until now hasn't arrived yet, how come it's so bad the service is so annoying when the ninja better to the other ajj dah …"
381,381, kapoooooooooookkkkkk sungguuuuuuh kapoooooook using ninja expresss is clearly slow to send …
382,382," It was only the first time using ninja services, and was really disappointed. Packages from 16 May "
383,383, Kapokkkk..kapokkkk uses ninjaaaa ...... crazy crazy crazy long time ago ... already in the warehouse depokkk kaga sent send ... want to know the address kaga visaa let me take it alone aaaaa ...... amit2 Kaga will use …
384,384, Ninja Express Tai..In the status of the shipment has arrived to me even though I have not received the item..Can I work or not Ninja Express …
385,385, Slow  
386,386," Had a problem regarding the delivery of my package. But thank God, even though I have to wait a bit longer. It's great on holidays, Eid. Just wait patiently. …"
387,387," Mantab beat the other expeditions, the pokone was regretful 100 x x using the ninja repentance delivery service, for my friend x know don't use this service, the main thing is, my package has been almost 1 week before …"
388,388," Use this expedition for almost 3 weeks, the package hasn't arrived ... I still see ... …"
389,389, Now it's not Xpress anymore  
390,390," If you can't, it's a star. Worst expedition ever. Take a long time. DURING THE. Call it J & T, Sicepat and Jne, they are fellow Jakarta, for less than a day, while the Ninja Express until 3 days, said there were …"
391,391," why is it taking so long if you use ninja, like to regret if you use this, even now the goods should have arrived but still stuck in the sorting hub, until I got a complaint because I want to use it on Eid, it was …"
392,392," Uda 2 days my package in the ""item will be sent to the recipient's address"" Even though I need that stuff, the courier is really slow! No longer use ninja xpress …"
393,393,"The worst expedition, they dont contact the number that given in parcel but they say they dont meet anyone in parcel's destination."
394,394, The package has not been completed for 2 weeks ... I have been tracking the package around in Bogor-Tangerang-Jakarta. CS can't contact me …
395,395," This is why why the package hasn't arrived even though sending from solo to Karanganyar is close to cooking for almost 5 days, please respond …"
396,396," Not recommended for expeditions ... slow and not clever courier ... no longer use this ninja ... just name it ninja ,, not according to the name ... not really smart .. ... don't know what to do first, my package ... …"
397,397," 3X send food to bw around, send to Purwakarta d to bw2 cirebon, then what is solo solo now there is no news, ask sm agent solo d throwing there and there let's go …"
398,398," My shipment is stuck in Bandung, doesn't go out. it says shorting the last hub. there is no explanation as to where it is. how do you contact cs. no one has picked up the phone. I have 4 shipments all of that. …"
399,399," So bad, the house is very close to the shipping status. The shipping status is sorting the hub in the same area as the house. This is the problem there are 2 items that are purchased and pricey especially for the …"
400,400," The cs can't be in the hub of just throwing away 10 minutes of songs, Weve always use ninja …"
401,401," When buying goods online, this is the most vulnerable. The tracking system is unclear, the driver has been driving for days to the destination. …"
402,402," I regret using this ... it hasn't been 8 days yet ... where have my stuff been !!! Just change the name, don't use express, but use slow !!! …"
403,403," Please check the receipt number NVIDSTAMP001377225 ,,, I checked repeatedly, the package was sent on May 20, 2020, ANNISA HAQ recipient, but my dtmpt works, there is no ANNISA HAQ name, sent …"
404,404,Bad bad bad service
405,405," Strongly do not recommend this shipping service ... Cheaper than the other ones .. cm if you want to wait a week more than Bandung to Jakarta, I don't know .. …"
406,406," Severe slow, first and last use slow ninja  "
407,407," The service is not good, long delivery on the phone instead of being lifted instead in the Mulu ruins what is this …"
408,408," Phone assistance is not picked up, lht track packet should be sent to the address of the recipient now instead returned to the original route, not very clear …"
409,409," The process is very slow, in one day, the package only moves from warehouse 1 to another warehouse. It takes 1 week to send a package from Jakarta to Central Java. …"
410,410," delivery a long time !!!! even though it's close !!!! until 3 days, I bought the goods and sent with neighboring services the next day until lgsg! …"
411,411," it's better to close the ninja express, you don't need to open it anymore, complaining, it's almost the same, please help the professional ones. …"
412,412," GK can be contacted by the delivery service, my goods arrived, please give me another level of service …"
413,413," Ugly, just the name of the original ninja is like a turtle "" …"
414,414," Send it from Bandung to Jakarta, it hasn't arrived in 6 days. Please search, where have my 2 packages gone: No receipt: …"
415,415, DELIVERY DEPARTMENT !!!!  
416,416, THEN SO WOY LU OPEN THE SERVICE. CANNOT CANNOT CHARGE THE OTHER. BAD SERVICE. NYESEL PAS CHECK OUT IT WAS NOT CLICKLY THE EXPESIDENCE. STUCK ITEMS 5 DAYS NOT A ROAD STREET …
417,417," Worst shipping service. Packages send packages for more than 2 weeks. In tracking the recipient's status is not in place, even though there has never been a courier who came home. Very very very unprofessional …"
418,418, Jelekkk bangett. How to send a 4 day package doesn't work. Lelettt. Kapokk use this. Don't use ninja. Just use the other one. Lose far with JNT & JNE. …
419,419, Tinpress Xpress  
420,420," This is bad ... how come there is no phone or confirmation if the item has arrived ... instead the receipt name is ""terrace"", I was at home all day ... I lost my way where my package was ... deeply disappointed .. …"
421,421," It was very slow, the courier also didn't use the map and then the address was answered clearly and often their packages arrived home so we had to pick them up first …"
422,422," Bad service, this expedition. Take a long time  "
423,423," CS no one to contact, pitched but no one picked up !! My package has been in 5 days there is no clear status of being sent to the sorting hub …"
424,424," Too complicated, must stop at each warehouse to be sorted which makes the delivery too long ... If it were easier, surely the ninja would be the courier who recommended, please consider this criticism …"
425,425," if you shop online first check the expedition, do not push the ninja express, this is the worst expedition in a very long time! …"
426,426," Abal2 delivery service, the package was very old and it didn't arrive even though the distance was tight, it wasn't really recommended, this oath was the worst shipping service !!!!! …"
427,427," Malang, Jakarta, it's not been a week yet. Crazy many who love 5 stars, definitely abal child account …"
428,428, Its slogan 
429,429," CS is difficult to contact, check the receipt of the manifest item has been received, but we have not received it at all. Not really recommended. …"
430,430," I want to ask this, where do I order my goods from the 6th until now, when I haven't arrived, please help me, admin. …"
431,431," Aseli is the first time using this, it's been a long time ... the status is unclear, the Call Center can not be called ... so that the stars will talk ... if there is a ½ star, I'll give it to you ... it's 1 star too …"
432,432, How come my package in the marketplace hasn't been picked up yet ... And it wants to be sent at this time !! Please improve the performance again ... hadeeh ... …
433,433," Severe,,,,  "
434,434, Delivery slow give up  
435,435," I won't use their services anymore. The tracking system is less informative, the CS is even less than the system. - Who's the courier's cell number? Do not know. …"
436,436, Sorry to use this expedition ... that's right .... important items didn't arrive ... …
437,437," Bad, the waiting period for the week hasn't arrived yet  "
438,438," Expedition is not valid, sending until 3 times does not arrive ""The address has been given a new and more complete, still not sent too, stupid …"
439,439," Receipt tracking on the receipt web has expired, call to CS hard to connect, once the connection is disconnected in the middle of the conversation, repeat it again until 4x !!! …"
440,440," DON'T DO IT, IT'S SO LONG !! CS ON THE PHONE CAN DECIDE ITSELF, REPEAT PHONE, DISCONNECT AGAIN. …"
441,441," How is it, bafu for the first time using expedition ninja exsressss is very disappointing, cook the package only jember to banguwangi already 3 days 4 days tomorrow not until it's crazy, right? …"
442,442," Completely disappointing delivery service. Enter the shopee marketplace, order goods from the city of Pasuruan to Jakarta. 3 days the new items were picked up and entered the hun sorting in Pasuruan. 2 days later the …"
443,443," Items that are much different from high school, cma hanging kitchen knives how come they turn into glass helmets, even though the helmet glass is clearly written in tangerang how come it can be lined up to the South …"
444,444," The messenger is not honest, the package hasn't arrived yet but already initialed has been received by the department. Yes, I will sincerely :"
445,445," Long time until LELET pick up !!! Sorry to use ninja, I will never use ninja to send goods …"
446,446," Pes number 401128930311300, what's the problem with you guys, like to cancel your order org …"
447,447," It's not been a week, it's clear  "
448,448," Really sorry for this service. Buy milk at the estimated shoppe for only one day, 3 days until I arrived "". I have also contacted someone ... where is the milk of the child already gone ... people, if there are …"
449,449, So slow ... don't use this expedition ... give up.  
450,450," Very disappointed at the Pemalang region ninja service, which couriers should appreciate any kind of goods and any of these types of goods kuris is very disrespectful. Actually, cool ninja express is only just a lazy …"
451,451, Status on the receipt is not moving 
452,452," This express ninja turtle is his name. Crazy from 3 days ago it's still a sorting hub status !!! So slow !!! Even though my other orders used another courier expedition, it arrived at all. Kapok I use ninja express, …"
453,453," Never use this delivery service, I swear I will regret it for the first time using glass, history can not be traced. Just take delivery in 1 city for almost 8 days until ... …"
454,454, Rubbish  
455,455," Couriers who send when the house is empty play throw the package to the garage. When I contacted, I got permission to climb the fence to get another package. Crazy. …"
456,456," Called the courier when the address is incomplete, early in the morning too, good …"
457,457," I have been waiting for the PICK UP from 9 o'clock yet, for my RATING TOPED I just got down. Telf is also not lifted …"
458,458," Expensive things are given to people who are not recipients, the status is accepted but the package hasn't arrived in my hand, the people I receive call for more reasons, if the damaged goods are lost, what is the …"
459,459, Until now my package has not been reached. The call center has not been lifted. …
460,460, The items I ordered didn't arrive disappointed  
461,461," Dreg expedition ajg, if you don't intend not to try to open services, …"
462,462," your courier service is really bad, the shipping period does not match the address. can you read the map or not? at any time you can ask sm the surrounding environment for the address ... no responsibility at all! …"
463,463, Mantapppp  
464,464, Slow my customer to complain about his work  
465,465," The most resentful of a ninja courier in Songong is very reluctant to work asked, even insisted, clearly 1 delivery 2 of these products only 1 product in the order sent to pay 2 mlz products hedeh bgt if ordered …"
466,466, Bad service. From bandung-jakarta it only takes days until now my package hasn't arrived yet. Even though the package status is already in Jakarta. Always the reason the office closes. Though clearly Stand by waiting …
467,467, What a mess ...  
468,468," Geez, it's really bad, once I try to use this expedition, even though I only buy things from send and send to Depok. Until 7 days does not arrive, even though the estimated maximum is 2 days. Just use the expedition …"
469,469," My item didn't arrive. Call the canter too, I can't work  "
470,470," Since changing the new courier 3 times the courier has even sent goods to the shop, even though the old courier often arrived at the house ,, …"
471,471," For the first time using Ninja Express, a message from 7 pm until now the goods are still in the packaging process .. But the shop said the item has been sent to the expedition just might not have been updated. …"
472,472," Disappointing ... first and last use this expedition service, order goods at shopee try using this expedition. Goods have been sent from March 30, April 4, the status of the goods will be sent but apparently failed to …"
473,473," Nothing good ”, the items from April 1 to April 7 haven't arrived either. I will give you 3 days if I don't arrive …"
474,474, LAZADA delivery using Ninja Express. Goods never reach the buyer. Always back again. Intention to open a company or just play? SEVERE ... !!! …
475,475, Pick up items more than 3 days .... Sent alone to the agent joglo_jakbar the package is not received. The other expedition is far different to the 7th sky ... …
476,476," It's only ""NINJA"" but it's like a snail, so long! Called up to a dozen times, the status of all ""TRANSIT"" items is unclear when transit is not clear !!!! …"
477,477," It's really bad, ninja xpress, the courier isn't right, the package is somehow somewhere in the center of the phone, there's no one who connects the online buying and selling, it's hard to contact, hadeh, please fix …"
478,478," Very fast, only need a day the package arrived  "
479,479, I just bought this item using ninja. All day at home eehh statuss packages say no org. Emg basic courier pemales. The package is not queued. …
480,480, I am the first time using the services of Ninja Espresso .. But disappointing ... until the day my item hasn't arrived yet it's still the …
481,481,No answer for the custumer service 👎
482,482," I just sent the package on March 25 because I wanted it fast. Tetyata is not what I entrust the delivery is not express m3, but the same as the usual package arrived in 3 days. And the recipient does not want to …"
483,483," The old shipping was through this expedition, how many times have I experienced ... …"
484,484," Dear Ninja Xpress, my package hasn't arrived in 5 days, it's even difficult to contact Cs. …"
485,485," STILL 1 CITY OF PADAHAL BUT UDH ALMOST 5 DAYS OF GOODS BLOM UNTIL 2 .. THE MOST WAY DELIVERY !!! G JLS, …"
486,486, Already four days of goods not sampe2.  
487,487," Just try to enter the Ninja Xpress expedition to the marketplace, but it is unfortunate that the riquest pickup in the morning has been waited until the afternoon has not yet been taken. …"
488,488, The telephone number cannot be contacted  
489,489," My package has not been received, why is there no email package received ... the recipient also did not write down the name of my kell, nobody received it ... delivery 30.03 .20 hours 22.24 I was at home ... there was …"
490,490," What a mess, 24 hours more goods have not been picked up by the courier. This is one of the worst shipping services I have ever felt …"
491,491, Compared to others far below average. Delivery is long and sometimes send out late when it's time to rest. The customer service number has never been answered. …
492,492, The package that I sent didn't arrive Waiting all day for a packet there is no news ... suddenly the delivery confirmation failed ... even though it was awaited …
493,493," My package has not arrived in 2 weeks, the customer service is not friendly at all. The slowest expedition in Indonesia🤮. Kapok use npres Xpres …"
494,494, Not recommended as ANTERAJA expeditions.  
495,495," I swear, I really don't recommend this shipping service, track the shipping history ... and even though the package is only one area from central Jakarta to North Jakarta, if I take only 3km by myself, because I use …"
496,496," My item was taken from March 19, now, March 24, it has not been sent at all to the Jakarta area. Cs is also not enough once my credit runs out. …"
497,497, Goods not in pickup for almost a week. Kacaw  
498,498," It's bad, it says it arrived but I didn't receive the package, the CS can't be contacted !!!! …"
499,499, Ugly. ... SLOW ... DISAPPOINTING ... NO MORE  
500,500," Customer service is difficult to contact. Couriers who deliver are also not professional. Said the recipient was not in place, even though he had not yet tried to be delivered and contacted. Disappointed. No …"
501,501," Ugly ... There's nothing to contact, poor service ... Bad, old package arrived, even though it's already a city. …"
502,502, super slow ... 1 city just already 4 hr packages in dteng too ... next time no more …
503,503," I'm waiting for the item in 5 days, it won't arrive ""and the courier doesn't contact the recipient. Estimated 3 working days .. This is wrong in sending or the courier has no …"
504,504," because you entered the market place, my rating dropped bin ancur bangkee !!! ,, I sent the package many times, many times the item was also received by the original recipient, my buyer complained after bangke, the …"
505,505, Delivery is very long even though it is near 
506,506," The pulp extract is sure ... Fellow Jakarta 3 days not arrived, traced back and forth transit ... Hilarious oath …"
507,507," Bad delivery, poor people, just close it ... whichever is the choice for a long time ... close it …"
508,508, The slowest expedition  
509,509, The slowest delivery service in the world ... the package has not arrived in a week ... sent my package woy …
510,510," The delivery status is not detailed enough. Departed at 6 in the morning from WH Depok to the destination, at 6 in the afternoon had not been received. Even though Depok is the same. Shipments from out of town …"
511,511," No longer using ninja experience, give up, crazy at 7 o'clock the courier said the package was successful first he said tomorrow he will immediately deliver to the destination until 2pm I wait for no one to come, I …"
512,512, Lelet lelet is not like other expeditions  
513,513," Very defective, the shipping is super long  "
514,514," Please deliver my package. Why is it really long, it's the first time using Xpress ninja how come this is really, on behalf of Yaya Royadi, a package from Bandung …"
515,515," I was very disappointed, my package was not arrived until I called to the number indicated by his father, said he would be notified to the courier who delivered, but I did not feel that I received the package while my …"
516,516,"The shipment too long, can't track the package, don't know where the package is."
517,517," Very disappointed with the ninja express, the courier was very slow, but I didn't want to check the receipt, it didn't work at all. My package is now where I don't know. …"
518,518,Bad service !!!
519,519," Where's my package, but I don't have it yet. From Jl Kosambi …"
520,520," Ancurrrr bekasi bogor from monday to friday not until2. Change the name, don't ninja express. Kura2 express is more descriptive. …"
521,521, The slowest of all the expeditions .. Try to order with 4 different expeditions on the same day. . In the case of the ninja pling the distance ... In fact it hasn't been done yet. Try to track down the receipt of the …
522,522," The name only expres, he said the slowest  "
523,523," Very bad service, sending goods next to the city from Bogor to Depok invited to travel to Tangerang and delivery information is not clear "
524,524," Delivery is very slow, far compared to the one next.  "
525,525," Bad performance just makes people lose money Already loses the time when the money is lost so everything loses so much trouble using ninja if you don't repent, it's just cured …"
526,526," 2x using ninja express, really long delivery, until 5 days, even though in the same city. May this is the last time using this courier. …"
527,527," If you are not ready in the Indonesian marketplace, do not participate if the pick-up service is taken until 3 days, it's better to close. Blokkkk …"
528,528," Please withdraw my cod funds immediately. In 2 months I haven't received my cod money, I have contacted all ninja contacts 😔 but there was no response …"
529,529," What kind of delivery service is this, the exact address of my active phone number is always at home, already 2 times the delivery attempt failed, I needed the item, never would I want to use this service again. …"
530,530," Severe reasons for the status of time out even though I have been waiting all day without confirmation of goods, I have to wait on schedule …"
531,531," It's bad, even though I'm at home and the delivery status fails to send because the recipient isn't at home …"
532,532," so long dog! from West Jakarta to South Jakarta for almost a week, it hasn't arrived …"
533,533," Only this time I can order from the marketplace using the Ninja Xpress expedition, confirmed the pickup before 3 pm but the courier has not come 2 days, unfortunately there is NO option to send directly to the outlet. …"
534,534, My stuff didn't reach my address !!  
535,535," This is the first time I have been disappointed, because the goods from West Jakarta will be sent to South Jakarta at Jamsotek Nyasarrrr in Menteng, even though the goods are gedeee, clothesline you want to use, …"
536,536," Ninja Xpress is really fun, no need to bother to get out the package. Just wait at home just the package in the direct delivery. …"
537,537," No longer will I use this courier ... Back to JN *, which is faster and clearer …"
538,538," The pickup service is not clear my shop's performance is bad because the goods are not taken by the courier until the marketplace cancels the order automatically because it fails to pickup, if not able to do not have …"
539,539," My package has not arrived in 1 week, the status is still in the process of being processed, this has passed the estimated tablets, when will my package arrive, sad that I know this …"
540,540," Ninja Express, please improve the service, we, as sellers, feel disappointed because initially we invite cooperation every time there is a package to be pickup and the payment can later be recapled monthly. …"
541,541," I want to order this message from the expedition, I don't know how long it's been, it's still on process. …"
542,542," Just using this expedition has been disappointed, please don’t improve its performance for shipping so that the customer is proud of not being disappointed PDA for sending East Java to Jakarta, if necessary, …"
543,543, a little disappointed even though I already used the one that arrived tomorrow but now it hasn't arrived until WOW! …
544,544, Irritable delivery  
545,545," Bad service Because of the slow pick up at the olshop, I was given 1 star. This 1 star is suitable for ninja …"
546,546," Once in a lifetime, no more at ninja. My slow packet doesn't arrive …"
547,547, Garbage delivery services! !! My package did not arrive and from the tracking status the package was passed here and there until more than a week ago when I complained that the package was not found and an …
548,548, This is the worst shipping service but at the same price as other good shipping services. not equivalent to the service. until the office was friday even though friday did not close but it was said the office was …
549,549," long delivery, express with another regular regular speed. …"
550,550, Thank you Ninja Xpress 🙏 Don't regret sending packages through ninja Xperess Send items via Xperess ninja …
551,551," Package delivery on December 12, 2019 until today, December 25, 2019 ... The package has not yet been contacted. This is the second time. …"
552,552, Fast delivery  
553,553," As the name implies, a thief courier, the item didn't arrive, the cs were only sorry, sorry, garbage …"
554,554,Bad bad so bad
555,555," My package has not arrived in 7 days, even though only from Jakarta to Depok, usually JNE or JNT takes 2 days. really regret using this expedition. just the customer service can't be contacted kezelll …"
556,556," DISAPPOINTED!!! The pick up process is very, very SLOW ONCE. APALAGI PROCESS OF DELIVERY OF GOODS. COURIER LOCATION IS NOT KNOWN BY ANY OFFICE PARTIES. …"
557,557, New item received. finally once on time .. …
558,558, Ninja Express  
559,559," First time using ninja, package delivery was problematic. now using ninja again because it's automatic from Zalora, the problem is the package doesn't arrive anymore. I suggest not to use Ninja at all, the delivery is …"
560,560," Order items on the 11th, until now has not arrived too ... Hadehh😡🙄 …"
561,561, Disappointed heavy & rich indeed do not intend to make an expedition service …
562,562," LELETTT ... JNE OK IS FASTER THAN NINJA EXPRESS FLASH PACKS. UDH DAYS PACKAGE, NO STREET, MANDEK WAREHOUSE AT THE SEND OF MSH JABODETABEK. …"
563,563, DO NOT RECOMMEND using this shipping service. The courier just so. Better to use another shipping service. …
564,564, This one who gives 5 stars is definitely a fake account made by ninja henchmen. …
565,565, Do not use this expedition. Buy items on Wednesday Wednesday with this expedition with an appointment tomorrow. Thursday awaited until evening at 22.00 did not arrive also my package. The next day the reason for the …
566,566, Disappointed  
567,567,Ok
568,568, It's been disappointed twice  
569,569, Already at the specified courier telephone number is not confirmed and there was already signed me as odd receiver when I have not received already 2 months …
570,570, Do not use this service  
571,571," use the ninja, the courier came angry angry, the package sent 4 refund 4 new back 3 of which 1 lost customer service can not anything. no more ninja …"
572,572," Very disappointing, the period of my goods from 30 November to 12 December, the intention is not ... …"
573,573," please help if you want to buy goods, it seems like my house is in the jungle, just because I parked the car, told that the road into the alley didn't arrive a minute, then the ninja shackled to call me ... why did I …"
574,574, The messenger is unwilling to work. Goods in the pick up request from 9 o'clock are always picked up in the afternoon to the evening. Never sent the size of one cardboard box. Then the courier said that he couldn't …
575,575, Slow ... The package arrived in 4 days and didn't arrive ... no receipt can not be lacal :
576,576," The service was very bad, the complaint response was no solution, the packet did not arrive until I knew where my package was woyyyy. Astaghfirullah tong tong …"
577,577," Disappointing. The first time using this expedition, the package was instead brought around and around. Even though only Jakarta, as close as it was 4 days, the goods had not arrived. Please remove that item, I want …"
578,578, I give 4 stars .. it was 1 .. haha ​​because parno read people reviews .. …
579,579," Initially I was hesitant to use this shipping service because there were so many negative complaints from customers. Because I want to send packages of glassware outside of Java, where other expeditions have always …"
580,580, ninja bye I will not be using again in his very lama.pesan onlineku.pickup store pick up at 9 am his messenger 18. The new date to come pick up the 19th at 5 sore.uda so no memorandum or receipt receipt .. …
581,581," First time using this expedition and the results were very unsatisfactory. Delivery takes almost 5 days and the package arrives damaged. Want to ask for accountability, but the admin is very slow response. Gosh. …"
582,582," This is an expedition or public transportation, package / transit when it arrives to the customer. Order goods on Lazada to get this expedition really damn. …"
583,583, for those who read it is not recommended for those who live outside of Java and remote areas. cma for big cities. …
584,584," The package was sent from Jakarta to Bogor, suddenly in Lampung. Strongly not recommended ... …"
585,585," Long time, 2 days, just waiting for pick up? He said ninja …"
586,586,Really good delivery service
587,587," He said the goods arrived, complained that he was investigating again, yet there was an investigation result that he even said that it was delivered ... what's the difficulty of asking the cream driver? …"
588,588," Bye ninja 😌 Don't get rid of the list of expeditions in my online shop, …"
589,589, Special Papua Papua Bintuni area Slow delivery …
590,590," Comfortable, friendly staff  "
591,591," The most chaotic companies open the area without any prior survey, promising all areas can be reached with COD but the facts on the ground turned out to be unreachable and easily cs they say that the area is …"
592,592, Disappointed shipping Jakarta to Sumatra 1 weekly Even though Indonesia is not from abroad ... Ninja is not recommended …
593,593," I sent the goods already taken by the courier but the status has not been picked up, I called the courier who picked up the number also cannot be deactivated wa jg disappeared .. 😭😭 ninja also cannot help because of …"
594,594, Prlyanan good  
595,595," Honestly, I am disappointed with the ninja express, the service is super slow ... Blm again info no receipt is tracked unclear .. I ordered goods from bandung why it arrived ""in North Maluku .. While I am from …"
596,596," Wow, to be honest with you, I sent the goods already taken by the courier, but the status has not been picked up, when I pick up, I ask for a receipt or a receipt, such as the answer is not there. Then what about my …"
597,597, Cheap and fast until ....  
598,598," Thank you Ninja, especially for the courier who delivered my package. Delivery to the area of ​​the package arrived safely, the package arrived …"
599,599," Ninja express courier is not polite motor directly into the garage of the house, without rights and without permission taking photos of the recipient and ask the status of the relationship with the recipient of the …"
600,600, Very disappointing  
601,601, Severe ... Many orders go to cancel because they don't pickup ... …
602,602, Old stuff until the reasonx doesn't find the address  
603,603,Bad bad bad ...one star still to much describe the bad service
604,604," we are very disappointed with the service of the ninja, the package we sent and was canceled was not returned by the ninja. We want to break the cooperative relationship with Ninja Express. do not beg us to use your …"
605,605," Where is my jancokkk package? From October 7th to October 25th, it hasn't arrived yet. Alesan didn't find the address even though I was given the complete link along …"
606,606,Never again..
607,607," The delivery of the old stuff is crazy ... When checking the receipt, there is a statement that the packet failed to send because the recipient is not at home ... …"
608,608, LAMAAAA !!!!! NOT NINJA BUT HORSE SEVERE PARARHHHHHH THERE'S EVEN !!!!!!!!!!!!!! …
609,609, Kapok old  
610,610, Rubbish  
611,611," Sorry, I have to be 2 star, I am disappointed that the delivery is online using this, it's very disappointed. It is listed in Pelapak 2 days delivery, the transaction is on 14/10/1019. Until now on the 18th status, …"
612,612," How can I do this, O God? But now it doesn't reach the transit point. 😢 …"
613,613," There is no certainty of pickup, customer service is also hanging …"
614,614," This is really bad shipping service, the period is already more than 10 days, the package is not sent, even though the seller is fast, but from this service is really long, for my friends, do not try, just use the …"
615,615," The shipments took almost a month to arrive, far longer than overseas shipments. The investigation report was made but still there was no clarity. …"
616,616, Long  
617,617, Looks ninja office  
618,618," NEVER TRY THIS EXPEDITION, GK COMPARATELY WITH WHAT LU KORBANIN, MEALING PAY A LITTLE MORE EXPENSIVE PAKE SIC *** T, * & E, * & T MORE WORTH THE MONEY! EVEN THE CHEAP W * H * NA EXPEDITION WAS NEVER NGECEWAIN !!! …"
619,619," Close this call expedition, disappointing  "
620,620," Orders far outside the estimated provisions of 2-3 days, it has been 6 days before the items arrive …"
621,621," I bought a cellphone from August 24, 2019 and at this time there is no clarity as to where the cellphone is ... when I call CS they will always be the same answer; The item is already in our warehouse in Denpasar, it …"
622,622," Dear ninja xpress. sy, there is an online shop delivery from 2pm on 28th to 29th day, there is no driver that has picked up my package, how about the day again? …"
623,623," Worst service ever, called many times but up to 2 days no one took the package. It's better to close it if you don't have enough couriers, no need to pick up anything. DISAPPOINTING!!!!! …"
624,624," I was disturbed every day, contacted all the time to return goods. even though the purchase of zalora items has been returned and everything is finished ... IT'S A BAD AT ALL SYSTEM. …"
625,625, Want to ask if this ninja express is in the ifolia shophouse HY 47 block? …
626,626, The most reputable shipping service. .. until the items I ordered already 1 week have also not been received …
627,627," My package was declared lost, because the courier was not responsible. very disappointed, so far I have never had an incident like this. …"
