,Ninjavan TH Reviews
283," The admin of the social media division, especially Instagram, doesn't like the response, even though the response is just like other delivery services. The CS admin who took care of the complaints in the email too, …"
284, Payakumbuh area Ninja Express courier is really outrageous. The parcel for our parents was not handed over to the recipient but it was reported that the package was delivered and finished. …
285, Services in East Tanjung Jabung district are very bad ... please fix it boss …
286,Thanks cs
287," Unprofessional expedition, it's better to just close it!  "
288," slow delivery already many ""CS chat was told to be patient …"
289," You're cool, it's been 5 days since the process of working the goods didn't arrive at the recipient. Even calling the call center or sending an email is not a solution. Thank you for learning to be patient …"
290," Dogs are the oath of going round and round packages from Karawang to Bekasi just a week or so. The strange thing is that the package goes round and round from the start, the giver knows that the package is invited to …"
291," Hadee ... the goods have been confirmed and received by the Ninja, but 2 days have not been sent either. It's been the second time like this. How ridiculous I swear! The work system is awesome whether it's just an …"
292, No komen  
293, The package has not moved for 4 days. Even though it is the same as south tangerang 🤦‍♀️🤦‍♀️ …
294," The rating is really strange, many give 1 star why is the rating still 4.5? …"
295, It's been 3 days that the goods from Shopee have not been taken ... the impression is that they want to come ... but it's messed up …
296, Ninjaxpres service is very bad ... Why should the RTS sprite 3 item be drunk 1 should all be whole ... Not really trustworthy ... …
297," Of the many new expeditions this time it was disappointed, the package was not picked up according to schedule so I took it directly to the Partner but it turned out that it took a long time to pick up huftt …"
298," from August 29 to September 29, 2020 the package has not arrived. the information is still sent by Allah, the name of the ninja X-press …"
299, Very bad pickup service from the morning 09.00 to 19.44 tonight the package has not been picked up by the courier. CONTINUE …
300, Slow delivery. have to wait until the next year new items arrive. the name is only express. service remains to the stone age. …
301," Long pickup, long delivery. The courier gave a fake report. Pick up operating hours until 10 pm but not pick up on that day. Very disappointed …"
302, Fast delivery  
303," Very disappointing, I was expecting ninja services to be fast. But it turned out to be far from what was expected. Very disappointing in fact. The package took a very long time to arrive, even a ninja service that …"
304," Disappointed using ninja. Always have a bad experience. In the past, the lost package didn't arrive. CS is also not cooperative. …"
305," It's really bad, I ordered at a shopee using a ninja at first, I just tried it, uh, it's been between Jakarta for 3 DAYS the order hasn't been picked up yet! Just like sending it from Papua. The website is not clear, …"
306," The worst service, compared to other couriers  "
307," As an online merchant and buyer, I am very satisfied with Ninja Van's service. If the pick-up barring home is always fast, the goods are picked up on the same day as the pick-up request. Regular delivery of goods in …"
308," BAD SERVICE FROM NINJA HARM SELLER AND CUSTOMER. 2 times had a case with a ninja. The introductory person from the ninja does not work professionally, the customer's package is not delivered to the recipient's address …"
309, 5 days haven't arrived ... really disappointed the package didn't move …
310, my item didn't arrive the customer service has been called dozens of times and not answered :
311," My package was conveniently lost !!! Phone to CS, lumping horse meter premium rate Wow, this is a company …"
312," Being that the goods are needed from kmren, the reasons continue. …"
313," Delivery is always late, never late, never on time, I can't work professionally, don't open a company …"
314," Very disappointing, you should not use the name ninja Xpress, use the name Ninja conch, it is very suitable, because it is very slow, takes time to ask for forgiveness, it is not suitable for an olshop like me, if the …"
315," the delivery was really bad, many items were missing, disband the ninja …"
316, Longest expedition ...  
317, Super slow  
318, Very irresponsible kuruirnya. The old package is coming. . The courier was rude. …
319," Thank you ninja! I swear I won't be using this courier service again, give up !!!! Goods just don't arrive ... …"
320," Not really, the call to CS said he told me to wait 3 days. Even though I have been waiting for the item for 4 days. Asking for a warehouse number not allowed, it's not allowed to pick up items from the warehouse, …"
321, The package is up to date !! Calling to csnya is no result !! Not anymore !!!! …
322, SEVERE.....!!!!!  My package was sent beyond the shipping estimate. …
323, bangeeettt slow delivery  
324," Please activate CS, which is +622129264120 I am a development partner, it is difficult if there is a complaint about the cost asking why the package didn't arrive, I sincerely beg you to cooperate 🙏🙏🙏🙏 …"
325," Last year using ninja express to buy red onions from Bekasi to Bekasi, eeeh the package strayed to North Jakarta, after complaints etc. finally arrived 9 days later! I don't think what the onions are, but the one who …"
326," I am very disappointed with ninja express, especially the handsome dalem tebet jaksel. My period was the most expensive for 1 day, but in fact, my goods were sent at half past 10 at night, obviously I had come home, …"
327," I've sent 5 times to the ninja, the package is always returned to the seller. the courier doesn't intend to send the package …"
328," It's really bad shopping online using this courier. It feels like shopping from abroad, even if shopping from abroad is not as long as using Xpress ninja. …"
329," 2 times using Ninja Xpress is really slow, it doesn't match the name …"
330," It's so long, the oath was so annoying that I ordered it from yesterday until now it doesn't arrive …"
331, Very slow delivery  
332," Delivery is very, very slow, never on time, even though the package has been picked up, but always if you use this ninja the delivery is always more than the estimated time, the extra time is also not up to 4 days …"
333, Disappointed ... My package has not arrived for 11 days .. Calls to the center only show music ... …
334, Kapoooooooook sama Ninja ... !!!!!  
335," no confirmation if my item is pending, and the Call Center is difficult to contact, music appears ... it's really disappointing ... sorry about using this expedition. I needed goods yesterday, until now it doesn't …"
336," It's been more than a week that the goods have not arrived at the destination address. The response is also very, very bad. Repeatedly contacted there is no response. …"
337," please speed up the delivery of the goods, sorry for the long wait …"
338," False expedition. Transactions from Saturday morning, until now do not pickup goods from the seller. Let's see the response, it must be like this: ""sorry sis. Please call 2926 4120 blablabla .."" Some times already …"
339," PACKAGE SENT DATED 18 JULY ESTIMATION RECEIVED DATED 22 JULY, PAS 22 JULY ARRIVED GA SAMPE2 PACKAGE CHECK CEK LATEST NEWS STILL TRANSIT FROM JAKARTA, PAS IN NEW EMAIL DIAL BALES TERNAL IS THIS DAMAGE TO PACKAGE AND GA …"
340," Wow, if you don't intend to be an expedition, you don't need to open a service. When I order Jakarta area goods. Estimated more than a week. Already like that, use my item transit event until the new week. What do you …"
341, VERY UNSAFE. REGRET ME TO USE THIS SERVICE  
342, There is no seat for guests  
343," Promos may be at market places, etc., but they must be of satisfying service! When I order at the market place, the goods are not pickup from the seller until now. Buseeeet. Order date 14, request pickup date 15. …"
344," A slow expedition service, promises 3-4 days the package is received, it's been more than 1 week the package isn't clear where ??? Contacted the call center but no one answered !!! No intention to make an expedition …"
345," which is suitable for the name of this shipping service, SI LELET XPRESS …"
346," Disappointing mas !! For those who want to use this service, please think about it again, bro. There are no clarity in a week, there is a customer service for tracking and tracking. Not to finish. …"
347," What ninja is this ??? How come the delivery is slow, no need to show up at the olshop anymore, I don't think I've been waiting, my stuff isn't up to home either. …"
348,Poor service ever !! Kapok
349," I want to complain, the goods from Lazada are canceled by the ninja express courier from Kendari ... the package is already a week because I'm late reply to the chat 14 minutes directly returned to the seller ... damn …"
350,"Poor service. Pick-up delayed, courier cancelled and didn't reschedule for other courier to pick-up. I got complaint from my customer. Driver always ask detail of my shop address even though it's already written clearly in shopee. I will turn-off Ninja Express from my shop and will not recommend until you fix all these problems."
351," ninja, how come my expers are coming, please come, please expedited my goods, yes, please expedited …"
352," My package hasn't arrived yet. Check your parcel receipt successfully sent. But I haven't received it yet. Gosh, you are a ninja. Skip where to …"
353, Please order to expedite the delivery  
354," Please improve the working system, the IT team too ... This is a shipping service business ... concerning the convenience of the sender & receiver ... …"
355," Sorry to use ninja express for a long time, delivery is not like other fast delivery …"
356, This service is very bad for Makassar South Sulawesi. Courier is not professional …
357," Deliveries from Date 16 to June 24, 2020 did not arrive ... 🖓🖓🖓 …"
358," The worst shipping service ever, because many were late and even many packages were lost "
359," Expedition is slow and not clear .. Morning tracking status ""will be sent to the address"" then there is a notification lg transit .. More transit. Transit, how come ... How come I have 2 ninja to 2 different …"
360," This insane insane package expedition is somehow stuck where, receipts are tracked still in place ""just don't understand this expedition anymore …"
361, parahhhh ... the 10 day package did not arrive even though it was the same in Jakarta. On the phone to CS he said the goods were in Cideng ready to be sent from km. Even though my house is in South Jakarta. It doesn't …
362," 3x I pk xpree ninja services very very very disappointing, only a very close distance with info sent 07.01 to 20.35 bs did not arrive and xkp with WA that the time has run out and please contact CS. What service is …"
363, My package already 11 days still going around  
364," Crazy, the courier service until CS was really bad, the telephone company never called, never asked the courier to be followed up. Luckily there is one star! If there is a zero star you deserve. …"
365, Najiissss guaa ... delivery of courier parts of the trunk is like no traces. Unclear grumbles ... please update ... or replace all. Severe.!!!! It doesn't sell if the courier model is like that. Just use ninja once. …
366," The expedition was unclear, the distance between the warehouse and the destination address was only 1km, almost a month had not arrived yet, with the reason the destination address was closed, there was listed my …"
367," Tracking package has been sent, but I did not receive any packages! On other expeditions, I will at least WA or text if the goods are being delivered to the location. In Ninja, there is a confirmation to the recipient …"
368," From June 3, 2020 the item hasn't arrived strangely enough that the reseller has received no response …"
369,Poor service. Period
370," Please pack me up, I can't see the recipient's information at the location, I was surprised that even though I didn't get it every day, ""weird …"
371,Too long for pickup my order
372," I really use ninja, shopping at Lazada using ninja eh at the shop already to the courier, the courier is not sent, from 31st May 2020 until now it's still in the same place hadeuhhhhhhhhhhhhhhhhhhhhh …"
373, Ninja X Press is cool good stuff  
374, Already more than 10 days the package has not been updated news stts y mash just process it will be done because of the logistics partners just how about this …
375," It's so bad to make a package send not happy, ""I told you to send a number of times, I've been waiting all day for the most to be sent. Very bad. …"
376, Orders for goods from Bukalapak 3 hr aren't taken ...  
377," This is what comments a lot of buzzers, who are sportsmanlike in boss competition …"
378,Nice office
379," It's been 10 days, the goods from West Jakarta to Ciledug that were sent using Ninja didn't hear the news. Check cross tracking status. Even though using drugs should be able to take two days. …"
380," The package from the 19th until now hasn't arrived yet, how come it's so bad the service is so annoying when the ninja better to the other ajj dah …"
381, kapoooooooooookkkkkk sungguuuuuuh kapoooooook using ninja expresss is clearly slow to send …
382," It was only the first time using ninja services, and was really disappointed. Packages from 16 May "
383, Kapokkkk..kapokkkk uses ninjaaaa ...... crazy crazy crazy long time ago ... already in the warehouse depokkk kaga sent send ... want to know the address kaga visaa let me take it alone aaaaa ...... amit2 Kaga will use …
384, Ninja Express Tai..In the status of the shipment has arrived to me even though I have not received the item..Can I work or not Ninja Express …
385, Slow  
386," Had a problem regarding the delivery of my package. But thank God, even though I have to wait a bit longer. It's great on holidays, Eid. Just wait patiently. …"
387," Mantab beat the other expeditions, the pokone was regretful 100 x x using the ninja repentance delivery service, for my friend x know don't use this service, the main thing is, my package has been almost 1 week before …"
388," Use this expedition for almost 3 weeks, the package hasn't arrived ... I still see ... …"
389, Now it's not Xpress anymore  
390," If you can't, it's a star. Worst expedition ever. Take a long time. DURING THE. Call it J & T, Sicepat and Jne, they are fellow Jakarta, for less than a day, while the Ninja Express until 3 days, said there were …"
391," why is it taking so long if you use ninja, like to regret if you use this, even now the goods should have arrived but still stuck in the sorting hub, until I got a complaint because I want to use it on Eid, it was …"
392," Uda 2 days my package in the ""item will be sent to the recipient's address"" Even though I need that stuff, the courier is really slow! No longer use ninja xpress …"
393,"The worst expedition, they dont contact the number that given in parcel but they say they dont meet anyone in parcel's destination."
394, The package has not been completed for 2 weeks ... I have been tracking the package around in Bogor-Tangerang-Jakarta. CS can't contact me …
395," This is why why the package hasn't arrived even though sending from solo to Karanganyar is close to cooking for almost 5 days, please respond …"
396," Not recommended for expeditions ... slow and not clever courier ... no longer use this ninja ... just name it ninja ,, not according to the name ... not really smart .. ... don't know what to do first, my package ... …"
397," 3X send food to bw around, send to Purwakarta d to bw2 cirebon, then what is solo solo now there is no news, ask sm agent solo d throwing there and there let's go …"
398," My shipment is stuck in Bandung, doesn't go out. it says shorting the last hub. there is no explanation as to where it is. how do you contact cs. no one has picked up the phone. I have 4 shipments all of that. …"
399," So bad, the house is very close to the shipping status. The shipping status is sorting the hub in the same area as the house. This is the problem there are 2 items that are purchased and pricey especially for the …"
400," The cs can't be in the hub of just throwing away 10 minutes of songs, Weve always use ninja …"
401," When buying goods online, this is the most vulnerable. The tracking system is unclear, the driver has been driving for days to the destination. …"
402," I regret using this ... it hasn't been 8 days yet ... where have my stuff been !!! Just change the name, don't use express, but use slow !!! …"
403," Please check the receipt number NVIDSTAMP001377225 ,,, I checked repeatedly, the package was sent on May 20, 2020, ANNISA HAQ recipient, but my dtmpt works, there is no ANNISA HAQ name, sent …"
404,Bad bad bad service
405," Strongly do not recommend this shipping service ... Cheaper than the other ones .. cm if you want to wait a week more than Bandung to Jakarta, I don't know .. …"
406," Severe slow, first and last use slow ninja  "
407," The service is not good, long delivery on the phone instead of being lifted instead in the Mulu ruins what is this …"
408," Phone assistance is not picked up, lht track packet should be sent to the address of the recipient now instead returned to the original route, not very clear …"
409," The process is very slow, in one day, the package only moves from warehouse 1 to another warehouse. It takes 1 week to send a package from Jakarta to Central Java. …"
410," delivery a long time !!!! even though it's close !!!! until 3 days, I bought the goods and sent with neighboring services the next day until lgsg! …"
411," it's better to close the ninja express, you don't need to open it anymore, complaining, it's almost the same, please help the professional ones. …"
412," GK can be contacted by the delivery service, my goods arrived, please give me another level of service …"
413," Ugly, just the name of the original ninja is like a turtle "" …"
414," Send it from Bandung to Jakarta, it hasn't arrived in 6 days. Please search, where have my 2 packages gone: No receipt: …"
415, DELIVERY DEPARTMENT !!!!  
416, THEN SO WOY LU OPEN THE SERVICE. CANNOT CANNOT CHARGE THE OTHER. BAD SERVICE. NYESEL PAS CHECK OUT IT WAS NOT CLICKLY THE EXPESIDENCE. STUCK ITEMS 5 DAYS NOT A ROAD STREET …
417," Worst shipping service. Packages send packages for more than 2 weeks. In tracking the recipient's status is not in place, even though there has never been a courier who came home. Very very very unprofessional …"
418, Jelekkk bangett. How to send a 4 day package doesn't work. Lelettt. Kapokk use this. Don't use ninja. Just use the other one. Lose far with JNT & JNE. …
419, Tinpress Xpress  
420," This is bad ... how come there is no phone or confirmation if the item has arrived ... instead the receipt name is ""terrace"", I was at home all day ... I lost my way where my package was ... deeply disappointed .. …"
421," It was very slow, the courier also didn't use the map and then the address was answered clearly and often their packages arrived home so we had to pick them up first …"
422," Bad service, this expedition. Take a long time  "
423," CS no one to contact, pitched but no one picked up !! My package has been in 5 days there is no clear status of being sent to the sorting hub …"
424," Too complicated, must stop at each warehouse to be sorted which makes the delivery too long ... If it were easier, surely the ninja would be the courier who recommended, please consider this criticism …"
425," if you shop online first check the expedition, do not push the ninja express, this is the worst expedition in a very long time! …"
426," Abal2 delivery service, the package was very old and it didn't arrive even though the distance was tight, it wasn't really recommended, this oath was the worst shipping service !!!!! …"
427," Malang, Jakarta, it's not been a week yet. Crazy many who love 5 stars, definitely abal child account …"
428, Its slogan 
429," CS is difficult to contact, check the receipt of the manifest item has been received, but we have not received it at all. Not really recommended. …"
430," I want to ask this, where do I order my goods from the 6th until now, when I haven't arrived, please help me, admin. …"
431," Aseli is the first time using this, it's been a long time ... the status is unclear, the Call Center can not be called ... so that the stars will talk ... if there is a ½ star, I'll give it to you ... it's 1 star too …"
432, How come my package in the marketplace hasn't been picked up yet ... And it wants to be sent at this time !! Please improve the performance again ... hadeeh ... …
433," Severe,,,,  "
434, Delivery slow give up  
435," I won't use their services anymore. The tracking system is less informative, the CS is even less than the system. - Who's the courier's cell number? Do not know. …"
436, Sorry to use this expedition ... that's right .... important items didn't arrive ... …
437," Bad, the waiting period for the week hasn't arrived yet  "
438," Expedition is not valid, sending until 3 times does not arrive ""The address has been given a new and more complete, still not sent too, stupid …"
439," Receipt tracking on the receipt web has expired, call to CS hard to connect, once the connection is disconnected in the middle of the conversation, repeat it again until 4x !!! …"
440," DON'T DO IT, IT'S SO LONG !! CS ON THE PHONE CAN DECIDE ITSELF, REPEAT PHONE, DISCONNECT AGAIN. …"
441," How is it, bafu for the first time using expedition ninja exsressss is very disappointing, cook the package only jember to banguwangi already 3 days 4 days tomorrow not until it's crazy, right? …"
442," Completely disappointing delivery service. Enter the shopee marketplace, order goods from the city of Pasuruan to Jakarta. 3 days the new items were picked up and entered the hun sorting in Pasuruan. 2 days later the …"
443," Items that are much different from high school, cma hanging kitchen knives how come they turn into glass helmets, even though the helmet glass is clearly written in tangerang how come it can be lined up to the South …"
444," The messenger is not honest, the package hasn't arrived yet but already initialed has been received by the department. Yes, I will sincerely :"
445," Long time until LELET pick up !!! Sorry to use ninja, I will never use ninja to send goods …"
446," Pes number 401128930311300, what's the problem with you guys, like to cancel your order org …"
447," It's not been a week, it's clear  "
448," Really sorry for this service. Buy milk at the estimated shoppe for only one day, 3 days until I arrived "". I have also contacted someone ... where is the milk of the child already gone ... people, if there are …"
449, So slow ... don't use this expedition ... give up.  
450," Very disappointed at the Pemalang region ninja service, which couriers should appreciate any kind of goods and any of these types of goods kuris is very disrespectful. Actually, cool ninja express is only just a lazy …"
451, Status on the receipt is not moving 
452," This express ninja turtle is his name. Crazy from 3 days ago it's still a sorting hub status !!! So slow !!! Even though my other orders used another courier expedition, it arrived at all. Kapok I use ninja express, …"
453," Never use this delivery service, I swear I will regret it for the first time using glass, history can not be traced. Just take delivery in 1 city for almost 8 days until ... …"
454, Rubbish  
455," Couriers who send when the house is empty play throw the package to the garage. When I contacted, I got permission to climb the fence to get another package. Crazy. …"
456," Called the courier when the address is incomplete, early in the morning too, good …"
457," I have been waiting for the PICK UP from 9 o'clock yet, for my RATING TOPED I just got down. Telf is also not lifted …"
458," Expensive things are given to people who are not recipients, the status is accepted but the package hasn't arrived in my hand, the people I receive call for more reasons, if the damaged goods are lost, what is the …"
459, Until now my package has not been reached. The call center has not been lifted. …
460, The items I ordered didn't arrive disappointed  
461," Dreg expedition ajg, if you don't intend not to try to open services, …"
462," your courier service is really bad, the shipping period does not match the address. can you read the map or not? at any time you can ask sm the surrounding environment for the address ... no responsibility at all! …"
463, Mantapppp  
464, Slow my customer to complain about his work  
465," The most resentful of a ninja courier in Songong is very reluctant to work asked, even insisted, clearly 1 delivery 2 of these products only 1 product in the order sent to pay 2 mlz products hedeh bgt if ordered …"
466, Bad service. From bandung-jakarta it only takes days until now my package hasn't arrived yet. Even though the package status is already in Jakarta. Always the reason the office closes. Though clearly Stand by waiting …
467, What a mess ...  
468," Geez, it's really bad, once I try to use this expedition, even though I only buy things from send and send to Depok. Until 7 days does not arrive, even though the estimated maximum is 2 days. Just use the expedition …"
469," My item didn't arrive. Call the canter too, I can't work  "
470," Since changing the new courier 3 times the courier has even sent goods to the shop, even though the old courier often arrived at the house ,, …"
471," For the first time using Ninja Express, a message from 7 pm until now the goods are still in the packaging process .. But the shop said the item has been sent to the expedition just might not have been updated. …"
472," Disappointing ... first and last use this expedition service, order goods at shopee try using this expedition. Goods have been sent from March 30, April 4, the status of the goods will be sent but apparently failed to …"
473," Nothing good ”, the items from April 1 to April 7 haven't arrived either. I will give you 3 days if I don't arrive …"
474, LAZADA delivery using Ninja Express. Goods never reach the buyer. Always back again. Intention to open a company or just play? SEVERE ... !!! …
475, Pick up items more than 3 days .... Sent alone to the agent joglo_jakbar the package is not received. The other expedition is far different to the 7th sky ... …
476," It's only ""NINJA"" but it's like a snail, so long! Called up to a dozen times, the status of all ""TRANSIT"" items is unclear when transit is not clear !!!! …"
477," It's really bad, ninja xpress, the courier isn't right, the package is somehow somewhere in the center of the phone, there's no one who connects the online buying and selling, it's hard to contact, hadeh, please fix …"
478," Very fast, only need a day the package arrived  "
479, I just bought this item using ninja. All day at home eehh statuss packages say no org. Emg basic courier pemales. The package is not queued. …
480, I am the first time using the services of Ninja Espresso .. But disappointing ... until the day my item hasn't arrived yet it's still the …
481,No answer for the custumer service 👎
482," I just sent the package on March 25 because I wanted it fast. Tetyata is not what I entrust the delivery is not express m3, but the same as the usual package arrived in 3 days. And the recipient does not want to …"
483," The old shipping was through this expedition, how many times have I experienced ... …"
484," Dear Ninja Xpress, my package hasn't arrived in 5 days, it's even difficult to contact Cs. …"
485," STILL 1 CITY OF PADAHAL BUT UDH ALMOST 5 DAYS OF GOODS BLOM UNTIL 2 .. THE MOST WAY DELIVERY !!! G JLS, …"
486, Already four days of goods not sampe2.  
487," Just try to enter the Ninja Xpress expedition to the marketplace, but it is unfortunate that the riquest pickup in the morning has been waited until the afternoon has not yet been taken. …"
488, The telephone number cannot be contacted  
489," My package has not been received, why is there no email package received ... the recipient also did not write down the name of my kell, nobody received it ... delivery 30.03 .20 hours 22.24 I was at home ... there was …"
490," What a mess, 24 hours more goods have not been picked up by the courier. This is one of the worst shipping services I have ever felt …"
491, Compared to others far below average. Delivery is long and sometimes send out late when it's time to rest. The customer service number has never been answered. …
492, The package that I sent didn't arrive Waiting all day for a packet there is no news ... suddenly the delivery confirmation failed ... even though it was awaited …
493," My package has not arrived in 2 weeks, the customer service is not friendly at all. The slowest expedition in Indonesia🤮. Kapok use npres Xpres …"
494, Not recommended as ANTERAJA expeditions.  
495," I swear, I really don't recommend this shipping service, track the shipping history ... and even though the package is only one area from central Jakarta to North Jakarta, if I take only 3km by myself, because I use …"
496," My item was taken from March 19, now, March 24, it has not been sent at all to the Jakarta area. Cs is also not enough once my credit runs out. …"
497, Goods not in pickup for almost a week. Kacaw  
498," It's bad, it says it arrived but I didn't receive the package, the CS can't be contacted !!!! …"
499, Ugly. ... SLOW ... DISAPPOINTING ... NO MORE  
500," Customer service is difficult to contact. Couriers who deliver are also not professional. Said the recipient was not in place, even though he had not yet tried to be delivered and contacted. Disappointed. No …"
501," Ugly ... There's nothing to contact, poor service ... Bad, old package arrived, even though it's already a city. …"
502, super slow ... 1 city just already 4 hr packages in dteng too ... next time no more …
503," I'm waiting for the item in 5 days, it won't arrive ""and the courier doesn't contact the recipient. Estimated 3 working days .. This is wrong in sending or the courier has no …"
504," because you entered the market place, my rating dropped bin ancur bangkee !!! ,, I sent the package many times, many times the item was also received by the original recipient, my buyer complained after bangke, the …"
505, Delivery is very long even though it is near 
506," The pulp extract is sure ... Fellow Jakarta 3 days not arrived, traced back and forth transit ... Hilarious oath …"
507," Bad delivery, poor people, just close it ... whichever is the choice for a long time ... close it …"
508, The slowest expedition  
509, The slowest delivery service in the world ... the package has not arrived in a week ... sent my package woy …
510," The delivery status is not detailed enough. Departed at 6 in the morning from WH Depok to the destination, at 6 in the afternoon had not been received. Even though Depok is the same. Shipments from out of town …"
511," No longer using ninja experience, give up, crazy at 7 o'clock the courier said the package was successful first he said tomorrow he will immediately deliver to the destination until 2pm I wait for no one to come, I …"
512, Lelet lelet is not like other expeditions  
513," Very defective, the shipping is super long  "
514," Please deliver my package. Why is it really long, it's the first time using Xpress ninja how come this is really, on behalf of Yaya Royadi, a package from Bandung …"
515," I was very disappointed, my package was not arrived until I called to the number indicated by his father, said he would be notified to the courier who delivered, but I did not feel that I received the package while my …"
516,"The shipment too long, can't track the package, don't know where the package is."
517," Very disappointed with the ninja express, the courier was very slow, but I didn't want to check the receipt, it didn't work at all. My package is now where I don't know. …"
518,Bad service !!!
519," Where's my package, but I don't have it yet. From Jl Kosambi …"
520," Ancurrrr bekasi bogor from monday to friday not until2. Change the name, don't ninja express. Kura2 express is more descriptive. …"
521, The slowest of all the expeditions .. Try to order with 4 different expeditions on the same day. . In the case of the ninja pling the distance ... In fact it hasn't been done yet. Try to track down the receipt of the …
522," The name only expres, he said the slowest  "
523," Very bad service, sending goods next to the city from Bogor to Depok invited to travel to Tangerang and delivery information is not clear "
524," Delivery is very slow, far compared to the one next.  "
525," Bad performance just makes people lose money Already loses the time when the money is lost so everything loses so much trouble using ninja if you don't repent, it's just cured …"
526," 2x using ninja express, really long delivery, until 5 days, even though in the same city. May this is the last time using this courier. …"
527," If you are not ready in the Indonesian marketplace, do not participate if the pick-up service is taken until 3 days, it's better to close. Blokkkk …"
528," Please withdraw my cod funds immediately. In 2 months I haven't received my cod money, I have contacted all ninja contacts 😔 but there was no response …"
529," What kind of delivery service is this, the exact address of my active phone number is always at home, already 2 times the delivery attempt failed, I needed the item, never would I want to use this service again. …"
530," Severe reasons for the status of time out even though I have been waiting all day without confirmation of goods, I have to wait on schedule …"
531," It's bad, even though I'm at home and the delivery status fails to send because the recipient isn't at home …"
532," so long dog! from West Jakarta to South Jakarta for almost a week, it hasn't arrived …"
533," Only this time I can order from the marketplace using the Ninja Xpress expedition, confirmed the pickup before 3 pm but the courier has not come 2 days, unfortunately there is NO option to send directly to the outlet. …"
534, My stuff didn't reach my address !!  
535," This is the first time I have been disappointed, because the goods from West Jakarta will be sent to South Jakarta at Jamsotek Nyasarrrr in Menteng, even though the goods are gedeee, clothesline you want to use, …"
536," Ninja Xpress is really fun, no need to bother to get out the package. Just wait at home just the package in the direct delivery. …"
537," No longer will I use this courier ... Back to JN *, which is faster and clearer …"
538," The pickup service is not clear my shop's performance is bad because the goods are not taken by the courier until the marketplace cancels the order automatically because it fails to pickup, if not able to do not have …"
539," My package has not arrived in 1 week, the status is still in the process of being processed, this has passed the estimated tablets, when will my package arrive, sad that I know this …"
540," Ninja Express, please improve the service, we, as sellers, feel disappointed because initially we invite cooperation every time there is a package to be pickup and the payment can later be recapled monthly. …"
541," I want to order this message from the expedition, I don't know how long it's been, it's still on process. …"
542," Just using this expedition has been disappointed, please don’t improve its performance for shipping so that the customer is proud of not being disappointed PDA for sending East Java to Jakarta, if necessary, …"
543, a little disappointed even though I already used the one that arrived tomorrow but now it hasn't arrived until WOW! …
544, Irritable delivery  
545," Bad service Because of the slow pick up at the olshop, I was given 1 star. This 1 star is suitable for ninja …"
546," Once in a lifetime, no more at ninja. My slow packet doesn't arrive …"
547, Garbage delivery services! !! My package did not arrive and from the tracking status the package was passed here and there until more than a week ago when I complained that the package was not found and an …
548, This is the worst shipping service but at the same price as other good shipping services. not equivalent to the service. until the office was friday even though friday did not close but it was said the office was …
549," long delivery, express with another regular regular speed. …"
550, Thank you Ninja Xpress 🙏 Don't regret sending packages through ninja Xperess Send items via Xperess ninja …
551," Package delivery on December 12, 2019 until today, December 25, 2019 ... The package has not yet been contacted. This is the second time. …"
552, Fast delivery  
553," As the name implies, a thief courier, the item didn't arrive, the cs were only sorry, sorry, garbage …"
554,Bad bad so bad
555," My package has not arrived in 7 days, even though only from Jakarta to Depok, usually JNE or JNT takes 2 days. really regret using this expedition. just the customer service can't be contacted kezelll …"
556," DISAPPOINTED!!! The pick up process is very, very SLOW ONCE. APALAGI PROCESS OF DELIVERY OF GOODS. COURIER LOCATION IS NOT KNOWN BY ANY OFFICE PARTIES. …"
557, New item received. finally once on time .. …
558, Ninja Express  
559," First time using ninja, package delivery was problematic. now using ninja again because it's automatic from Zalora, the problem is the package doesn't arrive anymore. I suggest not to use Ninja at all, the delivery is …"
560," Order items on the 11th, until now has not arrived too ... Hadehh😡🙄 …"
561, Disappointed heavy & rich indeed do not intend to make an expedition service …
562," LELETTT ... JNE OK IS FASTER THAN NINJA EXPRESS FLASH PACKS. UDH DAYS PACKAGE, NO STREET, MANDEK WAREHOUSE AT THE SEND OF MSH JABODETABEK. …"
563, DO NOT RECOMMEND using this shipping service. The courier just so. Better to use another shipping service. …
564, This one who gives 5 stars is definitely a fake account made by ninja henchmen. …
565, Do not use this expedition. Buy items on Wednesday Wednesday with this expedition with an appointment tomorrow. Thursday awaited until evening at 22.00 did not arrive also my package. The next day the reason for the …
566, Disappointed  
567,Ok
568, It's been disappointed twice  
569, Already at the specified courier telephone number is not confirmed and there was already signed me as odd receiver when I have not received already 2 months …
570, Do not use this service  
571," use the ninja, the courier came angry angry, the package sent 4 refund 4 new back 3 of which 1 lost customer service can not anything. no more ninja …"
572," Very disappointing, the period of my goods from 30 November to 12 December, the intention is not ... …"
573," please help if you want to buy goods, it seems like my house is in the jungle, just because I parked the car, told that the road into the alley didn't arrive a minute, then the ninja shackled to call me ... why did I …"
574, The messenger is unwilling to work. Goods in the pick up request from 9 o'clock are always picked up in the afternoon to the evening. Never sent the size of one cardboard box. Then the courier said that he couldn't …
575, Slow ... The package arrived in 4 days and didn't arrive ... no receipt can not be lacal :
576," The service was very bad, the complaint response was no solution, the packet did not arrive until I knew where my package was woyyyy. Astaghfirullah tong tong …"
577," Disappointing. The first time using this expedition, the package was instead brought around and around. Even though only Jakarta, as close as it was 4 days, the goods had not arrived. Please remove that item, I want …"
578, I give 4 stars .. it was 1 .. haha ​​because parno read people reviews .. …
